Squad,Gender,Comp,From,To,Comps,Champs,Other Names
AA Esmac Ananindeua,F,Brasileirão Feminino Série A1,2022,2022,1,,
AA Ponte Preta,F,,2019,2020,2,,
ABC FC,M,,2014,2017,3,,
América FC (MG),M,Campeonato Brasileiro Série A,2014,2022,9,1,América FC (MG)
América FC (RN),M,,2014,2014,1,,América FC (RN)
Associação Acadêmica e Desportiva Vitória das Tabocas,F,,2019,2019,1,,AAD Vitória das Tabocas
Associação Atlética Ponte Preta,M,Campeonato Brasileiro Série B,2014,2022,9,0,
Associação Chapecoense de Futebol,M,Campeonato Brasileiro Série B,2014,2022,9,1,
Associação Desportiva Confiança,M,,2020,2021,2,,
Associação Desportiva Recreativa e Cultural Icasa,M,,2014,2014,1,,
Associação Ferroviária,F,Brasileirão Feminino Série A1,2019,2022,4,1,
Associação Napoli Cacadorense,F,,2021,2021,1,,
Associação Portuguesa de Desportos,M,,2014,2014,1,,
Atlético Clube Goianiense,M,Campeonato Brasileiro Série A,2014,2022,9,1,
Avaí FC,F,Brasileirão Feminino Série A1,2019,2022,4,,Kindermann/Avaí
Avaí FC,M,Campeonato Brasileiro Série A,2014,2022,9,,
Boa Esporte Clube,M,,2014,2018,4,,
Botafogo de Futebol e Regatas,M,Campeonato Brasileiro Série A,2014,2022,9,2,
Botafogo FC,M,,2019,2020,2,,
Botafogo FR,F,,2021,2021,1,,
Brasília FC,M,,2015,2015,0,0,Brasilia FC
Brusque Futebol Clube,M,Campeonato Brasileiro Série B,2021,2022,2,,
CA Bragantino,M,Campeonato Brasileiro Série A,2014,2022,7,1,
CA Mineiro,F,Brasileirão Feminino Série A1,2022,2022,1,,
Ceará SC,M,Campeonato Brasileiro Série A,2014,2022,9,0,
Centro Sportivo Alagoano,M,Campeonato Brasileiro Série B,2018,2022,5,,
Club Athletico Paranaense,M,Campeonato Brasileiro Série A,2014,2022,9,0,Clube Atlético Paranaense
Clube Atlético Mineiro,M,Campeonato Brasileiro Série A,2014,2023,9,1,
Clube do Remo,M,,2021,2021,1,,
Clube Náutico Capibaribe,M,Campeonato Brasileiro Série B,2014,2022,7,,
Coritiba FC,M,Campeonato Brasileiro Série A,2014,2022,9,0,
CR Brasil,M,Campeonato Brasileiro Série B,2015,2022,8,,
CR Flamengo,M,Campeonato Brasileiro Série A,2014,2022,9,2,
CR Flamengo,F,Brasileirão Feminino Série A1,2019,2022,4,,
CR Vasco da Gama,M,Campeonato Brasileiro Série B,2014,2022,9,0,
Cresspom,F,Brasileirão Feminino Série A1,2022,2022,1,,
Criciúma Esporte Clube,M,Campeonato Brasileiro Série B,2014,2022,7,0,
Cruzeiro EC,F,Brasileirão Feminino Série A1,2020,2022,3,,
Cruzeiro Esporte Clube,M,Campeonato Brasileiro Série B,2014,2022,9,2,
Cuiabá Esporte Clube,M,Campeonato Brasileiro Série A,2016,2022,4,0,
EC Bahia,F,,2021,2021,1,,
EC Vitória,F,,2019,2020,2,,
Esporte Clube Bahia,M,Campeonato Brasileiro Série B,2014,2022,9,0,
Esporte Clube Iranduba da Amazônia,F,,2019,2020,2,,EC Iranduba
Esporte Clube Juventude,M,Campeonato Brasileiro Série A,2017,2022,5,,
Esporte Clube São Bento,M,,2018,2019,2,,
Esporte Clube Vitória,M,,2014,2021,8,0,
Figueirense FC,M,,2014,2020,7,0,
Fluminense FC,M,Campeonato Brasileiro Série A,2014,2022,9,0,
Fortaleza Esporte Clube,M,Campeonato Brasileiro Série A,2018,2023,5,1,
Foz Cataratas Futebol Clube,F,,2019,2019,1,,Foz Cataratas FC
Goiás Esporte Clube,M,Campeonato Brasileiro Série A,2014,2022,9,0,
Grêmio Esportivo Brasil,M,,2016,2021,6,,
Grêmio FBPA,F,Brasileirão Feminino Série A1,2020,2022,3,,
Grêmio Foot-Ball Porto Alegrense,M,Campeonato Brasileiro Série B,2014,2022,9,0,
Grêmio Novorizontino,M,Campeonato Brasileiro Série B,2022,2022,1,,
Grêmio Osasco Audax,F,,2019,2020,2,,
Guarani FC,M,Campeonato Brasileiro Série B,2017,2022,6,,
Ituano FC,M,Campeonato Brasileiro Série B,2022,2022,1,,
Joinville Esporte Clube,M,,2014,2016,3,1,
Londrina Esporte Clube,M,Campeonato Brasileiro Série B,2016,2022,6,,
Luverdense Esporte Clube,M,,2014,2017,4,,
Macaé Esporte FC,M,,2015,2015,1,,
Minas ICESP,F,,2019,2021,3,,
Mogi Mirim Esporte Clube,M,,2015,2015,1,,
Oeste FC,M,,2014,2020,7,,
Operário Ferroviário Esporte Clube,M,Campeonato Brasileiro Série B,2019,2022,4,,
Paraná Clube,M,,2014,2020,7,,
Paysandu SC,M,,2015,2018,4,,
Real Brasília FC,F,Brasileirão Feminino Série A1,2021,2022,2,,
Red Bull Bragantino,F,Brasileirão Feminino Série A1,2022,2022,1,,
Sampaio Corrêa FC,M,Campeonato Brasileiro Série B,2014,2022,7,,
Santa Cruz FC,M,,2014,2017,4,0,
Santos FC,M,Campeonato Brasileiro Série A,2014,2022,9,0,
Santos FC,F,Brasileirão Feminino Série A1,2019,2022,4,,
São Francisco EC,F,,2019,2019,1,,
São José Esporte Clube,F,Brasileirão Feminino Série A1,2019,2022,4,,São José EC
São Paulo FC,F,Brasileirão Feminino Série A1,2020,2022,3,,
São Paulo FC,M,Campeonato Brasileiro Série A,2014,2022,9,0,
SC Corinthians Paulista,F,Brasileirão Feminino Série A1,2019,2022,4,3,
SC Corinthians Paulista,M,Campeonato Brasileiro Série A,2014,2022,9,2,
SC Internacional,F,Brasileirão Feminino Série A1,2019,2022,4,,
SC Recife,F,,2019,2019,1,,
SE Palmeiras,F,Brasileirão Feminino Série A1,2020,2022,3,,
Sociedade Esportiva Palmeiras,M,Campeonato Brasileiro Série A,2014,2022,9,3,
Sport Club do Recife,M,Campeonato Brasileiro Série B,2014,2022,9,0,
Sport Club Internacional,M,Campeonato Brasileiro Série A,2014,2022,9,0,
Tombense Futebol Clube,M,Campeonato Brasileiro Série B,2022,2022,1,,
Tupi Esporte Clube,M,,2016,2016,1,,Tupi FC
Vila Nova FC,M,Campeonato Brasileiro Série B,2014,2022,7,,
