Squad,Gender,Comp,From,To,Comps,Champs,Other Names
ASKÖ Pasching,M,,2003-2004,2006-2007,4,0,
FC Admira Wacker Mödling,M,,1990-1991,2021-2022,14,0,
FC Bergheim,F,ÖFB Frauen-Bundesliga,2020-2021,2022-2023,3,,
FC Juniors OÖ,M,,2013-2014,2013-2014,0,,
FC Kärnten,M,,2001-2002,2003-2004,1,0,
FC Linz,M,,1999-2000,1999-2000,0,0,
FC Red Bull Salzburg,M,Austrian Football Bundesliga,1992-1993,2022-2023,20,13,SV Casino SalzburgSV Wüstenrot Salzburg
FC Südburgenland,F,,2020-2021,2021-2022,2,,
FC Tirol Innsbruck,M,,1990-1991,2001-2002,0,0,
FC Wacker Innsbruck,M,,2004-2005,2018-2019,9,0,FC Wacker Tirol
FC Wacker Innsbruck,F,ÖFB Frauen-Bundesliga,2020-2021,2022-2023,3,,
FFC Vorderland,F,ÖFB Frauen-Bundesliga,2020-2021,2022-2023,3,,
First Vienna FC,F,ÖFB Frauen-Bundesliga,2021-2022,2022-2023,2,,
FK Austria Wien,M,Austrian Football Bundesliga,1991-1992,2022-2023,20,2,
Grazer AK,M,,1996-1997,2006-2007,4,1,
Kapfenberger SV,M,,2008-2009,2011-2012,4,0,
LASK,M,Austrian Football Bundesliga,2007-2008,2022-2023,10,0,LASK Linz
SC Austria Lustenau,M,Austrian Football Bundesliga,2022-2023,2022-2023,1,,
SC Rheindorf Altach,M,Austrian Football Bundesliga,2006-2007,2022-2023,12,0,
SC Wiener Neustadt,M,,2009-2010,2017-2018,6,0,
Schwarz-Weiß Bregenz,M,,2003-2004,2004-2005,2,0,
SK Austria Kärnten,M,,2007-2008,2009-2010,3,0,
SK Austria Klagenfurt,M,Austrian Football Bundesliga,2020-2021,2022-2023,2,0,
SK Rapid Wien,M,Austrian Football Bundesliga,1990-1991,2022-2023,20,2,
SK Sturm Graz,F,ÖFB Frauen-Bundesliga,2016-2017,2022-2023,3,0,
SK Sturm Graz,M,Austrian Football Bundesliga,1991-1992,2022-2023,20,1,
SKN St. Pölten,M,,2014-2015,2020-2021,5,0,
SKN St. Pölten Frauen,F,ÖFB Frauen-Bundesliga,2015-2016,2022-2023,3,2,
SKV Altenmarkt,F,ÖFB Frauen-Bundesliga,2020-2021,2022-2023,3,,
SPG UNION Kleinmünchen/BW Linz,F,ÖFB Frauen-Bundesliga,2022-2023,2022-2023,1,,
SV Grödig,M,,2013-2014,2015-2016,3,0,
SV Horn,F,,2020-2021,2020-2021,1,,
SV Mattersburg,M,,2003-2004,2019-2020,15,0,
SV Neulengbach,F,ÖFB Frauen-Bundesliga,2014-2015,2022-2023,3,0,
SV Ried,M,Austrian Football Bundesliga,2005-2006,2022-2023,15,0,
TSV Hartberg,M,Austrian Football Bundesliga,2018-2019,2022-2023,5,,Fußball
USC Landhaus Wien,F,ÖFB Frauen-Bundesliga,2018-2019,2022-2023,3,,
Wolfsberger AC,M,Austrian Football Bundesliga,2012-2013,2022-2023,11,0,
WSG Swarovski Tirol,M,Austrian Football Bundesliga,2019-2020,2022-2023,4,,
