Squad,Gender,Comp,From,To,Comps,Champs,Other Names
GNK Dinamo Zagreb,M,Croatian First Football League,1990-1991,2022-2023,16,14,
HNK Cibalia,M,,2007-2008,2017-2018,8,0,
HNK Gorica,M,Croatian First Football League,2016-2017,2022-2023,5,0,
HNK Hajduk Split,M,Croatian First Football League,1994-1995,2022-2023,16,0,
HNK Orijent 1919,M,,2019-2020,2019-2020,0,0,
HNK Rijeka,M,Croatian First Football League,1999-2000,2022-2023,16,1,
HNK Šibenik,M,Croatian First Football League,2007-2008,2022-2023,8,0,
NK Croatia Sesvete,M,,2008-2009,2009-2010,2,0,
NK Hrvatski Dragovoljac,M,,2007-2008,2021-2022,3,0,
NK Inter Zaprešić,M,,2005-2006,2019-2020,11,0,
NK Istra 1961,M,Croatian First Football League,2009-2010,2022-2023,14,0,
NK Kamen Ingrad,M,,2003-2004,2003-2004,0,0,
NK Karlovac,M,,2009-2010,2011-2012,3,0,
NK Lokomotiva,M,Croatian First Football League,2009-2010,2022-2023,14,0,
NK Lučko,M,,2011-2012,2011-2012,1,0,
NK Međimurje,M,,2007-2008,2009-2010,2,0,
NK Osijek,M,Croatian First Football League,1995-1996,2022-2023,16,0,
NK Rudeš,M,,2017-2018,2018-2019,2,0,
NK Slaven Belupo,M,Croatian First Football League,2007-2008,2022-2023,16,0,
NK Varaždin,M,Croatian First Football League,2017-2018,2022-2023,3,0,
NK Varaždin,M,,2001-2002,2011-2012,5,0,NK Varteks
NK Zadar,M,,2007-2008,2014-2015,8,0,
NK Zagreb,M,,2002-2003,2015-2016,8,0,
RNK Split,M,,2010-2011,2016-2017,7,0,
ŽNK Osijek,F,,2014-2015,2021-2022,0,0,
ŽNK Split,F,,2019-2020,2022-2023,0,,
