Squad,Gender,Comp,From,To,Comps,Champs,Other Names
AC Ajaccio,M,Ligue 1,2002-2003,2022-2023,18,0,
AC Arles-Avignon,M,,2009-2010,2015-2016,6,0,
AC Basse-Goulaine,M,,2022-2023,2022-2023,0,,
AC Cambrai,M,,2014-2015,2022-2023,0,0,
AC Chapelain Foot,M,,2017-2018,2017-2018,0,0,
AC Paris 15,M,,2022-2023,2022-2023,0,,
AC Pouzauges Réaumur,M,,2016-2017,2016-2017,0,0,
AC Seyssinet,M,,2017-2018,2020-2021,0,0,
AF Bobigny,M,,2014-2015,2018-2019,0,0,
AF Lozère,M,,2014-2015,2018-2019,0,0,Avenir Foot Lozère
AF Virois,M,,2017-2018,2022-2023,0,0,
AFC Compiègne,M,,2016-2017,2018-2019,0,0,
AFC Creil,M,,2015-2016,2015-2016,0,0,
AG Caennaise,M,,2018-2019,2021-2022,0,0,
AGL Drapeau Fougeres,M,,2014-2015,2022-2023,0,0,
Aiglon du Lamentin,M,,2014-2015,2022-2023,0,0,
Ailly sur Somme FC,M,,2014-2015,2015-2016,0,0,
Ain Sud Foot,M,,2014-2015,2021-2022,0,0,
AJ Auxerre,M,Ligue 1,1991-1992,2022-2023,28,1,
AJ Petite-Île,M,,2017-2018,2017-2018,0,0,
AJ Saint-Georges,M,,2019-2020,2019-2020,0,0,
Amiens AC,M,,2014-2015,2021-2022,0,0,
Amiens SC,M,Ligue 2,2011-2012,2022-2023,8,0,
AMS Merpins,M,,2022-2023,2022-2023,0,,
Ancienne de Château-Gontier,M,,2017-2018,2019-2020,0,0,
Angers SCO,M,Ligue 1,2009-2010,2022-2023,14,0,
Angoulême CFC,M,,2017-2018,2022-2023,0,0,AS Angoulême-Charente
Annecy FC,M,Ligue 2,2015-2016,2022-2023,1,0,FC Annecy
APM Metz,M,,2015-2016,2016-2017,0,0,
Arras Football,M,,2014-2015,2020-2021,0,0,
AS Aix,M,,2014-2015,2014-2015,0,0,Aix les Bains FC
AS Aixoise,M,,2016-2017,2020-2021,0,0,
AS Beauvais Oise,M,,2014-2015,2022-2023,0,0,AS Beauvais-Oise
AS Belfort Sud,M,,2019-2020,2019-2020,0,0,
AS Béziers,M,,2015-2016,2019-2020,1,0,
AS Bourny-Laval,M,,2018-2019,2018-2019,0,0,
AS Bron Grand Lyon,M,,2017-2018,2017-2018,0,0,
AS Cagnes-Le Cros,M,,2017-2018,2017-2018,0,0,
AS Cannes,M,,1991-1992,2021-2022,3,0,
AS Carrières Grésillons,M,,2018-2019,2018-2019,0,0,
AS Chatou,M,,2021-2022,2021-2022,0,0,
AS Cherbourg Football,M,,2018-2019,2018-2019,0,0,
AS Clouange,M,,2015-2016,2015-2016,0,0,
AS de Montchat Lyon,M,,2021-2022,2021-2022,0,0,
AS Dragon,M,,2021-2022,2021-2022,0,0,
AS Dragon,M,,2016-2017,2018-2019,0,0,
AS Erstein,M,,2016-2017,2019-2020,0,0,
AS Étaples Football,M,,2016-2017,2021-2022,0,0,
AS Excelsior,M,,2014-2015,2017-2018,0,0,
AS Fabrègues,M,,2017-2018,2020-2021,0,0,
AS Frontignan AC,M,,2015-2016,2021-2022,0,0,
AS Furiani-Agliani,M,,2017-2018,2020-2021,0,0,
