Squad,Gender,Comp,From,To,Comps,Champs,Other Names
1. CfR Pforzheim,M,,2018-2019,2018-2019,0,0,
1. FC Düren,M,,2020-2021,2020-2021,0,0,
1. FC Germania Egestorf/Langreder,M,,2016-2017,2016-2017,0,0,
1. FC Heidenheim,M,2. Fußball-Bundesliga,2009-2010,2022-2023,14,1,
1. FC Heidenheim 1846 U19,M,A-Junioren Bundesliga,2015-2016,2022-2023,7,,
1. FC Heidenheim U17,M,,2017-2018,2021-2022,4,,
1. FC Kaan-Marienborn 07,M,,2022-2023,2022-2023,0,,
1. FC Kaiserslautern,M,2. Fußball-Bundesliga,1988-1989,2022-2023,34,3,
1. FC Kaiserslautern U17,M,,2016-2017,2021-2022,4,,
1. FC Kaiserslautern U19,M,,2016-2017,2021-2022,6,,
1. FC Köln,M,Fußball-Bundesliga,1988-1989,2022-2023,32,3,
1. FC Köln Frauen,F,Frauen-Bundesliga,2017-2018,2022-2023,4,0,
1. FC Köln U17,M,B-Junioren Bundesliga,2016-2017,2022-2023,7,1,
1. FC Köln U19,M,A-Junioren Bundesliga,2015-2016,2022-2023,8,,
1. FC Lok Stendal,M,,2018-2019,2018-2019,0,0,
1. FC Lokomotive Leipzig,M,,1993-1994,2021-2022,1,0,VfB Leipzig
1. FC Magdeburg,M,2. Fußball-Bundesliga,1990-1991,2022-2023,8,2,
1. FC Magdeburg U17,M,B-Junioren Bundesliga,2016-2017,2022-2023,3,,
1. FC Magdeburg U19,M,A-Junioren Bundesliga,2018-2019,2022-2023,5,,
1. FC Neubrandenburg 04,M,,2014-2015,2014-2015,0,0,
1. FC Nürnberg,M,2. Fußball-Bundesliga,1988-1989,2022-2023,29,1,
1. FC Nürnberg,F,,2019-2020,2022-2023,0,0,
1. FC Nürnberg U17,M,B-Junioren Bundesliga,2017-2018,2022-2023,6,,
1. FC Nürnberg U19,M,A-Junioren Bundesliga,2015-2016,2022-2023,7,,
1. FC Riegelsberg,F,,2020-2021,2022-2023,0,0,
1. FC Rielasingen-Arlen,M,,2017-2018,2020-2021,0,0,
1. FC Saarbrücken,F,,2019-2020,2022-2023,0,0,
1. FC Saarbrücken,M,3. Fußball-Liga,1992-1993,2022-2023,10,0,
1. FC Saarbrücken U19,M,,2015-2016,2021-2022,3,,
1. FC Schweinfurt 05,M,,2017-2018,2020-2021,0,0,
1. FC Union Berlin,F,,2019-2020,2019-2020,0,0,
1. FC Union Berlin,M,Fußball-Bundesliga,2001-2002,2022-2023,15,0,
1. FC Union Berlin U17,M,B-Junioren Bundesliga,2016-2017,2022-2023,7,,
1. FC Union Berlin U19,M,A-Junioren Bundesliga,2017-2018,2022-2023,6,,
1. FFC 08 Niederkirchen,F,,2019-2020,2022-2023,0,0,
1. FFC Frankfurt,F,,2014-2015,2019-2020,4,0,
1. FFC Turbine Potsdam,F,Frauen-Bundesliga,2016-2017,2022-2023,7,0,
1. FFV Erfurt,F,,2019-2020,2020-2021,0,0,
1. FSV Mainz 05,M,Fußball-Bundesliga,2003-2004,2022-2023,20,0,
1. FSV Mainz 05 II,M,,2014-2015,2016-2017,3,0,
1. FSV Mainz 05 U17,M,B-Junioren Bundesliga,2016-2017,2022-2023,7,,
1. FSV Mainz 05 U19,M,A-Junioren Bundesliga,2015-2016,2022-2023,8,,
1.FC Mönchengladbach,F,,2019-2020,2019-2020,0,0,
1.FC Mönchengladbach U17,M,,2016-2017,2016-2017,1,,
1.FC Mönchengladbach U19,M,,2015-2016,2015-2016,1,,
1.FC Saarbrücken U17,M,B-Junioren Bundesliga,2022-2023,2022-2023,1,,
Alemannia Aachen,M,,2003-2004,2019-2020,10,0,
Alemannia Aachen U17,M,,2017-2018,2021-2022,4,,
Alemannia Aachen U19,M,,2018-2019,2021-2022,4,,
ATS Buntentor,F,,2020-2021,2022-2023,0,0,
Bahlinger SC,M,,2015-2016,2015-2016,0,0,
Bayer 04 Leverkusen,F,Frauen-Bundesliga,2016-2017,2022-2023,6,0,
Bayer 04 Leverkusen,M,Fußball-Bundesliga,1988-1989,2022-2023,35,0,
Bayer 04 Leverkusen U17,M,B-Junioren Bundesliga,2016-2017,2022-2023,7,,
Bayer 04 Leverkusen U19,M,A-Junioren Bundesliga,2015-2016,2022-2023,8,,
Berliner AK 07 U19,M,A-Junioren Bundesliga,2022-2023,2022-2023,1,,
Berliner FC Dynamo,M,,2015-2016,2021-2022,0,0,BFC Dynamo
BFC Preussen,M,,2016-2017,2016-2017,0,0,BFC Preußen 1894
Blau-Weiß Lohne,M,,2022-2023,2022-2023,0,,
Bonner SC,M,,2017-2018,2017-2018,0,0,
Bonner SC U19,M,A-Junioren Bundesliga,2022-2023,2022-2023,1,,
Borussia Dortmund,M,Fußball-Bundesliga,1988-1989,2022-2023,35,5,
Borussia Dortmund II,M,3. Fußball-Liga,2009-2010,2022-2023,6,0,
Borussia Mönchengladbach,M,Fußball-Bundesliga,1988-1989,2022-2023,33,1,
Borussia Mönchengladbach,F,,2016-2017,2021-2022,2,0,
Borussia Mönchengladbach U17,M,B-Junioren Bundesliga,2016-2017,2022-2023,7,,
Borussia Mönchengladbach U19,M,A-Junioren Bundesliga,2015-2016,2022-2023,8,,
Bremer SV,M,,2014-2015,2022-2023,0,0,
BSC Hastedt,M,,2018-2019,2018-2019,0,0,
BSG Chemie Leipzig,M,,2018-2019,2018-2019,0,0,
BSV Grün-Weiss Neukölln,F,,2020-2021,2020-2021,0,0,
BSV Schwarz-Weiß Rehden,M,,2014-2015,2022-2023,0,0,
BV Borussia 09 Dortmund U17,M,B-Junioren Bundesliga,2016-2017,2022-2023,7,1,
BV Borussia 09 Dortmund U19,M,A-Junioren Bundesliga,2015-2016,2022-2023,8,4,
BV Borussia Bocholt,F,,2019-2020,2022-2023,0,0,
BV Cloppenburg,F,,2019-2020,2020-2021,0,0,
Chemnitzer FC,M,,1990-1991,2022-2023,8,0,
Chemnitzer FC,F,,2022-2023,2022-2023,0,,
Chemnitzer FC U17,M,B-Junioren Bundesliga,2018-2019,2022-2023,5,,
Chemnitzer FC U19,M,,2017-2018,2021-2022,4,,
DJK Arminia Klosterhardt U19,M,,2017-2018,2017-2018,1,,
DSC Arminia Bielefeld,M,2. Fußball-Bundesliga,1996-1997,2022-2023,24,2,Arminia Bielefeld
DSC Arminia Bielefeld,F,,2019-2020,2021-2022,0,0,
DSC Arminia Bielefeld U17,M,B-Junioren Bundesliga,2016-2017,2022-2023,7,,
DSC Arminia Bielefeld U19,M,,2016-2017,2021-2022,5,,
Düsseldorf U17,M,B-Junioren Bundesliga,2016-2017,2022-2023,7,,TSV Fortuna 95
