Squad,Gender,Comp,From,To,Comps,Champs,Other Names
Achilles '29,M,,2013-2014,2016-2017,4,0,
Achilles '29 Vrouwen,F,,2018-2019,2018-2019,1,0,
ADO Den Haag,M,Eerste Divisie,2001-2002,2022-2023,20,0,
ADO Den Haag Vrouwen,F,Eredivisie Vrouwen,2018-2019,2022-2023,5,0,
AFC Ajax,M,Eredivisie,1991-1992,2022-2023,23,8,
AFC Ajax Vrouwen,F,Eredivisie Vrouwen,2017-2018,2022-2023,5,0,
AGOVV Apeldoorn,M,,2005-2006,2012-2013,6,0,
Almere City FC,M,Eerste Divisie,2007-2008,2022-2023,17,0,FC Omniworld
AZ Alkmaar,M,Eredivisie,2000-2001,2022-2023,23,1,
AZ Vrouwen,F,,2018-2019,2019-2020,2,0,
De Graafschap,M,Eerste Divisie,2000-2001,2022-2023,21,1,
FC Den Bosch,M,Eerste Divisie,2001-2002,2022-2023,18,0,
FC Dordrecht,M,Eerste Divisie,2006-2007,2022-2023,16,0,
FC Eindhoven,M,Eerste Divisie,2007-2008,2022-2023,16,0,
FC Emmen,M,Eredivisie,2001-2002,2022-2023,16,1,
FC Groningen,M,Eredivisie,1991-1992,2022-2023,23,0,
FC Twente,M,Eredivisie,1990-1991,2022-2023,23,2,
FC Twente Vrouwen,F,Eredivisie Vrouwen,2014-2015,2022-2023,5,3,FC Twente
FC Utrecht,M,Eredivisie,1991-1992,2022-2023,23,0,
FC Volendam,M,Eredivisie,2000-2001,2022-2023,18,1,
Feyenoord Rotterdam,M,Eredivisie,1993-1994,2022-2023,23,1,
Feyenoord Vrouwen,F,Eredivisie Vrouwen,2021-2022,2022-2023,2,,
Fortuna Sittard,M,Eredivisie,2000-2001,2022-2023,18,0,
Fortuna Sittard,F,Eredivisie Vrouwen,2022-2023,2022-2023,1,,
Go Ahead Eagles,M,Eredivisie,2000-2001,2022-2023,16,0,
Helmond Sport,M,Eerste Divisie,2002-2003,2022-2023,16,0,
Heracles Almelo,M,Eerste Divisie,2002-2003,2022-2023,18,0,
HFC Haarlem,M,,2005-2006,2008-2009,2,0,
Jong AFC Ajax,M,Eerste Divisie,2013-2014,2022-2023,10,1,
Jong AZ,M,Eerste Divisie,2017-2018,2022-2023,6,0,
Jong FC Twente,M,,2013-2014,2014-2015,2,0,
Jong FC Utrecht,M,Eerste Divisie,2016-2017,2022-2023,7,0,
Jong PSV,M,Eerste Divisie,2013-2014,2022-2023,10,0,
K. Patro Eisden Maasmechelen,M,,2014-2015,2015-2016,2,,
MVV Maastricht,M,Eerste Divisie,2007-2008,2022-2023,16,0,
NAC Breda,M,Eerste Divisie,2000-2001,2022-2023,24,0,
NEC Nijmegen,M,Eredivisie,2000-2001,2022-2023,24,1,
PEC Zwolle,M,Eerste Divisie,2000-2001,2022-2023,18,1,FC Zwolle
PEC Zwolle Vrouwen,F,Eredivisie Vrouwen,2018-2019,2022-2023,5,0,
PSV Eindhoven,M,Eredivisie,1991-1992,2022-2023,23,9,
PSV Vrouwen,F,Eredivisie Vrouwen,2018-2019,2022-2023,5,0,
RBC Roosendaal,M,,2000-2001,2010-2011,9,0,
RKC Waalwijk,M,Eredivisie,2000-2001,2022-2023,23,1,
Roda JC Kerkrade,M,Eerste Divisie,1990-1991,2022-2023,24,0,Roda JC
SBV Excelsior,M,Eredivisie,2000-2001,2022-2023,18,0,
SBV Excelsior,F,Eredivisie Vrouwen,2018-2019,2022-2023,5,0,Excelsior/Barendrecht
SC Cambuur,M,Eredivisie,2000-2001,2022-2023,16,2,
SC Heerenveen,M,Eredivisie,2000-2001,2022-2023,23,0,
SC Heerenveen Vrouwen,F,Eredivisie Vrouwen,2018-2019,2022-2023,5,0,
SC Telstar,M,Eerste Divisie,2000-2001,2022-2023,16,0,Stormvogels Telstar
SC Veendam,M,,2006-2007,2012-2013,6,0,
Sparta Rotterdam,M,Eredivisie,2000-2001,2022-2023,20,1,
SV Zulte Waregem,F,Belgian Women's Super League,2020-2021,2022-2023,3,,
Telstar 1963,F,Eredivisie Vrouwen,2022-2023,2022-2023,1,,
TOP Oss,M,Eerste Divisie,2005-2006,2022-2023,15,0,FC Oss
Vitesse Arnhem,M,Eredivisie,1990-1991,2022-2023,23,0,
VV Alkmaar,F,Eredivisie Vrouwen,2020-2021,2022-2023,3,0,
VVV-Venlo,M,Eerste Divisie,2003-2004,2022-2023,16,2,
Willem II,M,Eerste Divisie,1998-1999,2022-2023,23,1,
