Squad,Gender,Comp,From,To,Comps,Champs,Other Names
Académica de Coimbra,M,,2002-2003,2015-2016,14,0,
Belenenses SAD,M,,2018-2019,2021-2022,4,,
Boavista FC,M,Primeira Liga,1991-1992,2022-2023,17,1,
Braga,F,,2019-2020,2019-2020,0,0,SC Feminino
CA Ouriense,F,,2014-2015,2014-2015,0,0,
Casa Pia AC,M,Primeira Liga,2022-2023,2022-2023,1,,
CD Aves,M,,2000-2001,2019-2020,5,0,
CD Feirense,M,,2011-2012,2018-2019,4,0,
CD Nacional,M,,2002-2003,2020-2021,17,0,
CD Santa Clara,M,Primeira Liga,2001-2002,2022-2023,7,0,
CD Tondela,M,,2015-2016,2021-2022,7,0,
CD Trofense,M,,2008-2009,2008-2009,1,0,
CF Benfica Feminino,F,,2015-2016,2016-2017,0,,CF Benfica
CF Estrela da Amadora,M,,2000-2001,2008-2009,6,0,
CF Os Belenenses,M,,2000-2001,2017-2018,15,0,
CF União,M,,2015-2016,2015-2016,1,0,
CS Marítimo,M,Primeira Liga,1993-1994,2022-2023,23,0,
FC Alverca,M,,2000-2001,2003-2004,3,0,
FC Arouca,M,Primeira Liga,2013-2014,2022-2023,6,0,
FC Famalicão,M,Primeira Liga,2019-2020,2022-2023,4,,
FC Paços de Ferreira,M,Primeira Liga,2000-2001,2022-2023,21,0,
FC Penafiel,M,,2004-2005,2014-2015,3,0,
FC Porto,M,Primeira Liga,1990-1991,2022-2023,23,12,
FC Vizela,M,Primeira Liga,2021-2022,2022-2023,2,,
GD Chaves,M,Primeira Liga,2016-2017,2022-2023,4,0,
GD Estoril Praia,M,Primeira Liga,2004-2005,2022-2023,9,0,
Gil Vicente FC,M,Primeira Liga,2000-2001,2022-2023,14,0,
Leixões SC,M,,2002-2003,2009-2010,3,0,
Moreirense FC,M,,2002-2003,2021-2022,12,0,
Naval 1º de Maio,M,,2005-2006,2010-2011,6,0,
Portimonense SC,M,Primeira Liga,2010-2011,2022-2023,7,0,
Rio Ave FC,M,Primeira Liga,2003-2004,2022-2023,17,0,
SC Beira-Mar,M,,1999-2000,2012-2013,9,0,
SC Braga,M,Primeira Liga,1997-1998,2022-2023,23,0,
SC Campomaiorense,M,,2000-2001,2000-2001,1,0,
SC Farense,M,,1995-1996,2020-2021,3,0,
SC Olhanense,M,,2009-2010,2013-2014,5,0,
SC Salgueiros,M,,1991-1992,2001-2002,2,0,
SL Benfica,M,Primeira Liga,1990-1991,2022-2023,23,7,
Sport Lisboa e Benfica,F,,2020-2021,2022-2023,0,0,
Sporting CP,M,Primeira Liga,1990-1991,2022-2023,23,2,
Sporting CP,F,,2017-2018,2018-2019,0,,
UD Leiria,M,,2000-2001,2011-2012,11,0,
Varzim SC,M,,2001-2002,2002-2003,2,0,
Vitória de Guimarães,M,Primeira Liga,1990-1991,2022-2023,22,0,
Vitória de Setúbal,M,,1999-2000,2019-2020,18,0,
