Squad,Gender,Comp,From,To,Comps,Champs,Other Names
FC Akhmat Grozny,M,Russian Premier League,2004-2005,2022-2023,16,0,FC Terek Grozny
FC Amkar Perm,M,,2004,2017-2018,14,0,
FC Anzhi Makhachkala,M,,2001,2018-2019,10,0,
FC Arsenal Tula,M,,2014-2015,2021-2022,7,0,
FC Chernomorets Novorossiysk,M,,2001,2003,2,0,
FC Dynamo Moscow,M,Russian Premier League,1991-1992,2022-2023,21,0,
FC Fakel Voronezh,M,Russian Premier League,2001,2022-2023,2,0,
FC Khimki,M,Russian Premier League,2007,2022-2023,6,0,
FC Krasnodar,M,Russian Premier League,2011-2012,2022-2023,12,0,
FC Kuban Krasnodar,M,,2004,2015-2016,8,0,
FC Lokomotiv Moscow,M,Russian Premier League,1993-1994,2022-2023,22,3,
FC Luch Vladivostok,M,,2006,2008,3,0,FC Luch-Energiya Vladivostok
FC Mordovia Saransk,M,,2012-2013,2015-2016,3,0,
FC Moscow,M,,2001,2009,9,0,FC Torpedo-MetallurgFC Torpedo-ZIL Moscow
FC Nizhny Novgorod,M,Russian Premier League,2011-2012,2022-2023,2,0,
FC Orenburg,M,Russian Premier League,2016-2017,2022-2023,4,0,
FC Rostov,M,Russian Premier League,2001,2022-2023,21,0,
FC Rotor Volgograd,M,,1994-1995,2020-2021,5,0,
FC Rubin Kazan,M,,2003,2021-2022,19,2,
FC Saturn Ramenskoye,M,,2001,2010,10,0,
FC Shinnik Yaroslavl,M,,2002,2011-2012,6,0,
FC Sibir Novosibirsk,M,,2010,2010-2011,1,0,
FC SKA-Khabarovsk,M,,2012-2013,2021-2022,1,0,
FC Spartak Moscow,M,Russian Premier League,1990-1991,2022-2023,22,2,
FC Spartak Vladikavkaz,M,,1993-1994,2012-2013,7,0,FC Alania VladikavkazFC Spartak-Alania Vladikavkaz
FC Tambov,M,,2017-2018,2020-2021,2,0,
FC Tekstilshchik Kamyshin,M,,1994-1995,1994-1995,0,0,
FC Tom Tomsk,M,,2005,2018-2019,9,0,
FC Torpedo Moscow,M,Russian Premier League,1990-1991,2022-2023,8,0,FC Torpedo-Luzhniki
FC Tosno,M,,2014-2015,2017-2018,1,0,
FC Ufa,M,,2013-2014,2021-2022,8,0,
FC Ural,M,Russian Premier League,2013-2014,2022-2023,10,0,
FC Uralan Elista,M,,2002,2003,2,0,
FC Volga Nizhny Novgorod,M,,2011-2012,2013-2014,3,0,
FC Volgar Astrakhan,M,,2015-2016,2015-2016,0,0,
FC Yenisey Krasnoyarsk,M,,2016-2017,2018-2019,1,0,
FC Zenit Saint Petersburg,M,Russian Premier League,1999-2000,2022-2023,22,8,
FC Zorky Krasnogorsk,F,,2015-2016,2015-2016,0,0,FK Zorky Krasnogorsk
FK Ryazan-VDV,F,,2014-2015,2019-2020,0,0,
PFC CSKA Moscow,M,Russian Premier League,1992-1993,2022-2023,22,6,
PFC Krylia Sovetov Samara,M,Russian Premier League,2001,2022-2023,19,0,FK Krylia Sovetov Samara
PFC Sochi,M,Russian Premier League,2019-2020,2022-2023,4,,PFK Sochi
PFC Sokol Saratov,M,,2001,2002,2,0,
PFC Spartak Nalchik,M,,2006,2012-2013,6,0,
WFC Chertanovo,F,,2019-2020,2019-2020,0,0,
WFC Rossiyanka,F,,2016-2017,2017-2018,0,0,
ZFK CSKA Moskva,F,,2020-2021,2021-2022,0,,
ZHFK Lokomotiv Moskva,F,,2021-2022,2021-2022,0,,
Zvezda-2005 Perm,F,,2014-2015,2018-2019,0,0,Zvezda 2005 Perm
