Squad,Gender,Comp,From,To,Comps,Champs,Other Names
AFC Eskilstuna,M,Superettan,2006,2023,13,0,AFC UnitedFC Väsby United
AIK Fotboll Dam,F,Damallsvenskan,2021,2022,2,,
AIK Stockholm,M,Allsvenskan,1993-1994,2023,22,2,
Akropolis IF,M,,2015,2021,2,0,
Ängelholms FF,M,,2008,2016,9,0,
Assyriska FF,M,,2004,2016,11,0,
Åtvidabergs FF,M,,2006,2017,12,1,
BK Forward,M,,2012,2012,0,0,
BK Häcken,M,Allsvenskan,2001,2023,20,1,
Dalkurd FF,M,Superettan,2013,2022,6,0,
Degerfors IF,M,Allsvenskan,2006,2023,17,0,
Djurgårdens IF,M,Allsvenskan,2001,2023,23,4,
Djurgårdens IF FF,F,Damallsvenskan,2017,2023,7,,
Enköpings SK,M,,2003,2008,3,0,
Eskilstuna United DFF,F,Damallsvenskan,2016-2017,2022,6,0,
Falkenbergs FF,M,,2006,2022,16,1,
FC Rosengård,F,Damallsvenskan,2014-2015,2023,7,3,
FC Trollhättan,M,,2009,2010,2,0,
GAIS,M,,1990-1991,2023,17,0,
Gefle IF,M,,2005,2023,15,0,
GIF Sundsvall,M,Allsvenskan,2001,2023,23,0,
Halmstads BK,M,Superettan,1996-1997,2023,23,1,
Hammarby IF,M,Allsvenskan,2001,2023,23,2,
Hammarby IF FF,F,Damallsvenskan,2017,2023,5,,
Helsingborgs IF,M,Allsvenskan,1996-1997,2023,23,2,
Husqvarna FF,M,,2014,2014,1,0,
IF Brommapojkarna,M,Superettan,2006,2023,15,2,
IF Brommapojkarna,F,Damallsvenskan,2022,2023,2,,
IF Elfsborg,M,Allsvenskan,2001,2023,23,2,
IF Limhamn Bunkeflo,M,,2006,2008,2,0,
IF Limhamn Bunkeflo,F,,2017,2019,3,,
IF Sylvia,M,,2007,2011,1,0,
IFK Göteborg,M,Allsvenskan,1991-1992,2023,23,1,
IFK Kalmar,F,Damallsvenskan,2018,2023,3,,
IFK Norrköping,M,Allsvenskan,1990-1991,2023,20,2,
IFK Norrköping DFK,F,,2023,2023,1,,
IFK Värnamo,M,Allsvenskan,2011,2023,11,1,
IK Brage,M,Superettan,2009,2023,10,0,
IK Frej,M,,2014,2019,5,0,
IK Oddevold,M,,2013,2013,0,0,
IK Sirius,M,Allsvenskan,2006,2023,13,1,
IK Uppsala Fotboll,F,,2020,2023,2,,
Jönköpings Södra IF,M,Superettan,2006,2023,18,1,
Kalmar FF,M,Allsvenskan,2002,2023,21,1,
KIF Örebro DFF,F,Damallsvenskan,2015-2016,2023,6,0,
Kopparbergs/Göteborg FC,F,Damallsvenskan,2017,2023,7,1,
Kristianstads DFF,F,Damallsvenskan,2017,2023,7,,
Kungsbacka DFF,F,,2019,2019,1,,
Kvarnsvedens IK,F,,2017,2017,1,,
Landskrona BoIS,M,Superettan,2002,2023,17,0,
Linköpings FC,F,Damallsvenskan,2014-2015,2023,7,1,
Ljungskile SK,M,,2006,2020,12,0,
Lunds BK,M,,2012,2012,0,0,
Malmö FF,M,Allsvenskan,1990-1991,2023,23,8,
Mjällby AIF,M,Allsvenskan,2001,2023,15,2,
Norrby IF,M,Superettan,2016,2022,6,0,
Örebro SK,M,Superettan,1991-1992,2023,22,0,
Örgryte IS,M,Superettan,2000-2001,2023,19,1,
Oskarshamns AIK,M,,2018,2018,0,0,
Östers IF,M,Superettan,1991-1992,2023,15,1,
Östersunds FK,M,Superettan,2013,2023,11,0,
Piteå IF,F,Damallsvenskan,2017,2023,7,1,
Qviding FIF,M,,2006,2011,4,0,
Skövde AIK,M,Superettan,2009,2023,2,0,
Syrianska FC,M,,2009,2019,10,1,
Trelleborgs FF,M,Superettan,1994-1995,2023,17,1,
Umeå FC,M,,2006,2020,3,0,
Umeå IK,F,Damallsvenskan,2020,2022,2,,
Utsiktens BK,M,Superettan,2015,2023,3,0,
Varbergs BoIS,M,Allsvenskan,2012,2023,12,0,
Vasalunds IF,M,,2008,2021,2,0,
Västerås SK,M,Superettan,2011,2023,6,0,
Västra Frölunda IF,M,,2002,2002,0,0,
Växjö DFF,F,,2018,2023,5,,
Vittsjö GIK,F,Damallsvenskan,2017,2023,7,,
