Squad,Gender,Comp,From,To,Comps,Champs,Other Names
Adana Demirspor,M,Süper Lig,2021-2022,2022-2023,2,,
Adanaspor,M,,2002-2003,2016-2017,3,0,
Akçaabat Sebatspor,M,,2003-2004,2004-2005,2,0,
Akhisar Belediyespor,M,,2012-2013,2018-2019,7,0,
Alanyaspor,M,Süper Lig,2016-2017,2022-2023,7,0,
ALG SK,F,,2020-2021,2022-2023,0,,
Altay SK,M,,2002-2003,2021-2022,2,0,
Antalyaspor,M,Süper Lig,2000-2001,2022-2023,16,0,
Ataşehir Belediyespor,F,,2018-2019,2018-2019,0,,
Balıkesirspor,M,,2014-2015,2014-2015,1,0,
BB Erzurumspor,M,,2018-2019,2020-2021,2,,
Beşiktaş JK,M,Süper Lig,1990-1991,2022-2023,22,5,
Beşiktaş JK,F,,2019-2020,2021-2022,0,,
Bucaspor,M,,2010-2011,2010-2011,1,0,
Bursaspor,M,,2001-2002,2018-2019,16,1,
Çaykur Rizespor,M,,2001-2002,2021-2022,14,0,
Denizlispor,M,,2001-2002,2020-2021,11,0,
Diyarbakırspor,M,,2001-2002,2009-2010,6,0,
Elazığspor,M,,2002-2003,2013-2014,4,0,
Eskişehirspor,M,,2008-2009,2015-2016,8,0,
Fatih Karagümrük SK,M,Süper Lig,2020-2021,2022-2023,3,,
Fenerbahçe SK,M,Süper Lig,1990-1991,2022-2023,22,5,
Galatasaray SK,M,Süper Lig,1992-1993,2022-2023,22,8,
Gaziantep Büyükşehir Belediyespor,M,Süper Lig,2019-2020,2022-2023,4,,Gaziantep FK
Gaziantepspor,M,,2000-2001,2016-2017,16,0,
Gençlerbirliği SK,M,,2001-2002,2020-2021,19,0,
Giresunspor,M,Süper Lig,2021-2022,2022-2023,2,,
Göztepe SK,M,,2001-2002,2021-2022,7,0,
Hacettepe SK,M,,2007-2008,2008-2009,2,0,
Hatayspor,M,Süper Lig,2020-2021,2022-2023,3,,
İstanbul Başakşehir FK,M,Süper Lig,2007-2008,2022-2023,15,1,İstanbul BB
İstanbulspor,M,Süper Lig,1998-1999,2022-2023,5,0,
Kardemir Karabükspor,M,,2010-2011,2017-2018,7,0,
Kasımpaşa SK,M,Süper Lig,2007-2008,2022-2023,14,0,
Kayseri Erciyesspor,M,,2005-2006,2014-2015,4,0,
Kayserispor,M,Süper Lig,2004-2005,2022-2023,18,0,
Kocaelispor,M,,1993-1994,2008-2009,3,0,
Konak Belediyespor,F,,2014-2015,2017-2018,0,,Konak Belediyespor K
Konyaspor,M,Süper Lig,2003-2004,2022-2023,17,0,Atiker Konyaspor
Malatyaspor,M,,2001-2002,2005-2006,5,0,
Manisaspor,M,,2005-2006,2011-2012,6,0,
Mersin İdmanyurdu,M,,2011-2012,2015-2016,4,0,
MKE Ankaragücü,M,Süper Lig,1999-2000,2022-2023,15,0,
Orduspor,M,,2011-2012,2012-2013,2,0,
Osmanlıspor FK,M,,2004-2005,2017-2018,9,0,Ankaraspor
Sakaryaspor,M,,2004-2005,2006-2007,2,0,
Samsunspor,M,,2001-2002,2011-2012,6,0,
Sivasspor,M,Süper Lig,2005-2006,2022-2023,17,0,
Trabzonspor,M,Süper Lig,1991-1992,2022-2023,22,1,
Ümraniyespor,M,Süper Lig,2022-2023,2022-2023,1,,
Yeni Malatyaspor,M,,2017-2018,2021-2022,5,0,
Yimpaş Yozgatspor,M,,2001-2002,2001-2002,1,0,
