Squad,Gender,Comp,From,To,Comps,Champs,Other Names
Aalborg BK,F,,2020-2021,2021-2022,2,0,
Aalborg BK,M,Superliga,1993-1994,2022-2023,20,2,
Aarhus GF,F,Kvindeligaen,2020-2021,2022-2023,3,0,
AC Horsens,M,Superliga,2005-2006,2022-2023,13,0,
AGF Aarhus,M,Superliga,1997-1998,2022-2023,17,0,
Akademisk Boldklub,M,,1999-2000,2003-2004,1,0,AB Copenhagen
B93 København,F,,2021-2022,2021-2022,0,0,
Ballerup-Skovlunde Fodbold,F,,2019-2020,2019-2020,1,,
Boldklubben Frem,M,,1992-1993,2003-2004,1,0,
Brøndby IF,M,Superliga,1990-1991,2022-2023,20,2,
Brøndby IF,F,Kvindeligaen,2014-2015,2022-2023,4,0,
DBK Fortuna Hjørring,F,Kvindeligaen,2014-2015,2022-2023,4,0,
Esbjerg fB,M,,2003-2004,2019-2020,15,0,
FC Copenhagen,M,Superliga,1991-1992,2022-2023,20,11,
FC Helsingør,M,,2016-2017,2017-2018,1,0,
FC Midtjylland,M,Superliga,2001-2002,2022-2023,20,3,
FC Nordsjælland,M,Superliga,2003-2004,2022-2023,20,1,
FC Nordsjælland,F,Kvindeligaen,2019-2020,2022-2023,4,,
FC Thy - ThistedQ,F,Kvindeligaen,2019-2020,2022-2023,4,,
FC Vestsjælland,M,,2013-2014,2014-2015,2,0,
HB Køge,M,,2009-2010,2011-2012,2,0,
HB Køge,F,Kvindeligaen,2020-2021,2022-2023,3,0,
Herfølge Boldklub,M,,2000-2001,2004-2005,2,0,
Hobro IK,M,,2014-2015,2019-2020,5,0,
Ikast FS,M,,1991-1992,1991-1992,0,0,
KoldingQ,F,Kvindeligaen,2019-2020,2022-2023,4,,
Lyngby BK,M,Superliga,1992-1993,2022-2023,8,0,
Odense BK,M,Superliga,1990-1991,2022-2023,20,0,
Odense Q,F,,2019-2020,2021-2022,1,0,
Randers FC,M,Superliga,2004-2005,2022-2023,17,0,
Silkeborg IF,M,Superliga,1994-1995,2022-2023,13,0,
Sundby BK,F,Kvindeligaen,2021-2022,2022-2023,1,0,
SønderjyskE Fodbold,M,,2005-2006,2021-2022,15,0,
Varde IF,F,,2021-2022,2021-2022,0,0,
Vejle BK,M,,1990-1991,2021-2022,5,0,
Vendsyssel FF,M,,2016-2017,2018-2019,1,0,
Viborg FF,M,Superliga,2000-2001,2022-2023,10,0,
VSK Aarhus,F,,2019-2020,2019-2020,1,,
