Squad,Gender,Comp,From,To,Comps,Champs,Other Names
AFC Tubize,M,,2008-2009,2018-2019,6,0,
AS Verbroedering Geel,M,,2014-2015,2015-2016,2,,
Beerschot AC,M,,1991-1992,2012-2013,10,0,FC Germinal EkerenKFC Germinal Beerschot
Cercle Brugge KSV,M,Belgian First Division A,2003-2004,2022-2023,20,1,
Club Brugge KV,F,Belgian Women's Super League,2020-2021,2022-2023,3,,
Club Brugge KV,M,Belgian First Division A,1990-1991,2022-2023,20,6,
Club NXT,M,Belgian First Division B,2020-2021,2022-2023,2,,
DVL Zonhoven,F,Belgian Women's Super League,2020-2021,2022-2023,3,,
Excel Mouscron,M,,2012-2013,2021-2022,8,0,Royal Mouscron-Péruwelz
FC Fémina White Star Woluwé,F,Belgian Women's Super League,2020-2021,2022-2023,3,,
FCV Dender EH,M,Belgian First Division B,2007-2008,2022-2023,3,0,
K. Beringen-Heusden-Zolder,M,,2003-2004,2003-2004,1,0,
KAA Gent,M,Belgian First Division A,1991-1992,2022-2023,20,1,
KAA La Gantoise,F,Belgian Women's Super League,2020-2021,2022-2023,3,,
KAS Eupen,M,Belgian First Division A,2009-2010,2022-2023,10,0,
KFC Dessel Sport,M,,2014-2015,2015-2016,2,,
KFC Verbroedering Geel,M,,2005-2006,2005-2006,0,0,
KFC Vigor Wuitens Hamme,M,,2005-2006,2005-2006,0,0,
KFCO Beerschot Wilrijk,M,Belgian First Division B,2017-2018,2022-2023,6,1,
KMSK Deinze,M,Belgian First Division B,2015-2016,2022-2023,4,,
KRC Genk,M,Belgian First Division A,1999-2000,2022-2023,20,2,
KRC Genk U23,M,Belgian First Division B,2022-2023,2022-2023,1,,
KRC Mechelen,M,,2014-2015,2014-2015,1,,
KSK Beveren,M,,2003-2004,2006-2007,4,0,
KSK Heist,M,,2014-2015,2015-2016,2,,
KSV Roeselare,M,,2005-2006,2019-2020,11,0,
KSV Waregem,M,,1993-1994,1993-1994,0,0,
KV Kortrijk,M,Belgian First Division A,2006-2007,2022-2023,15,0,
KV Mechelen,M,Belgian First Division A,1990-1991,2022-2023,16,1,
KV Oostende,M,Belgian First Division A,2004-2005,2022-2023,11,0,
KV Woluwe-Zaventem,M,,2014-2015,2014-2015,1,,
KVC Westerlo,M,Belgian First Division A,2001-2002,2022-2023,18,1,
KVV Coxyde,M,,2015-2016,2015-2016,1,,
Lierse Kempenzonen,M,Belgian First Division B,2020-2021,2022-2023,3,,
Lierse SK,M,,1995-1996,2017-2018,12,0,
Lommel SK,M,Belgian First Division B,2005-2006,2022-2023,8,0,KVSK United Overpelt-LommelLommel United
OH Leuven,M,Belgian First Division A,2011-2012,2022-2023,12,0,
Oud-Heverlee Leuven,F,Belgian Women's Super League,2020-2021,2022-2023,3,,
R. Charleroi SC,M,Belgian First Division A,1994-1995,2022-2023,19,0,
R.E. Virton,M,Belgian First Division B,2014-2015,2022-2023,5,,Royal Excelsior Virton
R.F.C. Seraing,M,Belgian First Division A,1994-1995,2022-2023,5,0,FC Seraing
RAA Louviéroise,M,,2003-2004,2005-2006,3,0,
RAEC Mons,M,,2003-2004,2014-2015,9,0,
RE Mouscron,M,,1997-1998,2008-2009,6,0,
Royal Antwerp FC,M,Belgian First Division A,1990-1991,2022-2023,10,1,
Royal Standard de Liège U23,M,Belgian First Division B,2022-2023,2022-2023,1,,
Royale Union SG,M,Belgian First Division A,2015-2016,2022-2023,8,1,
RSC Anderlecht,M,Belgian First Division A,1990-1991,2022-2023,20,8,
RSC Anderlecht,F,Belgian Women's Super League,2018-2019,2022-2023,3,0,
RSC Anderlecht U23,M,Belgian First Division B,2022-2023,2022-2023,1,,
RWD Molenbeek,M,Belgian First Division B,2020-2021,2022-2023,3,0,
RWDM Brussels FC,M,,1996-1997,2007-2008,4,0,
RWS Bruxelles,M,,2012-2013,2015-2016,2,1,Royal White Star BruxellesWS Woluwe
SC Eendracht Aalst,M,,1995-1996,2014-2015,1,0,
Sint-Truidense V.V.,M,Belgian First Division A,2003-2004,2022-2023,17,1,
Sporting du Pays de Charleroi,F,Belgian Women's Super League,2020-2021,2022-2023,3,,
Sporting Lokeren,M,,2003-2004,2019-2020,17,0,
Standard Fémina de Liège,F,Belgian Women's Super League,2014-2015,2022-2023,3,0,Royal Standard de Liège
Standard Liège,M,Belgian First Division A,1992-1993,2022-2023,20,2,
SV Zulte Waregem,M,Belgian First Division A,2005-2006,2022-2023,18,0,
VC Dames Eendracht Alost,F,Belgian Women's Super League,2020-2021,2022-2023,3,,
Waasland-Beveren,M,Belgian First Division B,2010-2011,2022-2023,11,0,
Yellow-Red KV Mechelen,F,Belgian Women's Super League,2022-2023,2022-2023,1,,
