Squad,Gender,Comp,From,To,Comps,Champs,Other Names
A.D.C. Viterbese Castrense,M,,2015-2016,2019-2020,0,0,AS Viterbese Castrense
AC Ancona,M,,1992-1993,2016-2017,6,0,US Ancona 1905
AC Cesena,M,,1988-1989,2017-2018,16,0,
AC ChievoVerona,M,,2001-2002,2020-2021,20,1,
AC Delta Porto Tolle Rovigo,M,,2015-2016,2015-2016,0,0,AC Delta Porto Tolle
AC Fanfulla 1874,M,,2019-2020,2019-2020,0,0,ASD Fanfulla
AC Mantova,M,,2005-2006,2019-2020,5,0,Mantova 1911 SSD
AC Milan,F,Serie A,2018-2019,2022-2023,5,,
AC Milan,M,Serie A,1988-1989,2022-2023,35,8,
AC Monza,M,Serie A,2014-2015,2022-2023,3,0,AC Monza BrianzaSS Monza 1912
AC Pavia,M,,2015-2016,2015-2016,0,0,FC Pavia 1911
AC Perugia Calcio,M,Serie B,1996-1997,2022-2023,16,0,AC Perugia
AC Pisa 1909,M,Serie B,1988-1989,2022-2023,9,0,Pisa Calcio
AC Prato,M,,2014-2015,2014-2015,0,0,
AC Reggiana 1919,M,,1993-1994,2022-2023,4,0,Reggio Audace FC
AC Renate,M,,2014-2015,2020-2021,0,0,
AC Rezzato,M,,2018-2019,2018-2019,0,0,
AC Rimini 1912,M,,2005-2006,2008-2009,4,0,
AC Siena,M,,2001-2002,2019-2020,13,1,Robur Siena
AC Tuttocuoio 1957 San Miniato,M,,2015-2016,2016-2017,0,0,AC Tuttocuoio 1957
ACF Brescia Femminile,F,,2014-2015,2017-2018,0,0,
ACF Fiorentina,M,Serie A,1988-1989,2022-2023,33,0,
ACR Messina,M,,2001-2002,2016-2017,7,0,ACR Messina 1947
Alma Juventus Fano 1906,M,,2015-2016,2015-2016,0,0,
AS Cittadella,M,Serie B,2001-2002,2022-2023,15,0,
AS Fasano,M,,2019-2020,2019-2020,0,0,US Città di Fasano
AS Giana Erminio,M,,2017-2018,2018-2019,0,0,
AS Gubbio 1910,M,,2011-2012,2017-2018,1,0,
AS Livorno Calcio,M,,2002-2003,2020-2021,16,0,
AS Lucchese Libertas 1905,M,,2015-2016,2017-2018,0,0,
AS Melfi,M,,2015-2016,2015-2016,0,0,
AS Pro Piacenza 1919,M,,2017-2018,2017-2018,0,0,
AS Roma,F,Serie A,2018-2019,2022-2023,5,0,
AS Roma,M,Serie A,1988-1989,2022-2023,35,1,
AS Varese 1910,M,,2010-2011,2017-2018,5,0,Varese Calcio
Ascoli Picchio FC 1898,M,Serie B,1988-1989,2022-2023,22,0,
ASD AGSM Verona CF,F,,2015-2016,2018-2019,1,0,
ASD Albalonga,M,,2018-2019,2018-2019,0,0,SSD Albalonga Calcio
ASD Calcio Chieri 1955,M,,2018-2019,2018-2019,0,0,Calcio Chieri 1955
ASD Calcio Pomigliano,F,Serie A,2021-2022,2022-2023,2,,
ASD Fidelis Andria 1928,M,,2016-2017,2016-2017,0,0,SS Fidelis Andria 1928
ASD Francavilla Calcio,M,,2017-2018,2020-2021,0,0,Virtus Francavilla Calcio
ASD Gelbison Cilento Vallo della Lucania,M,,2020-2021,2020-2021,0,0,
ASD Lanusei Calcio,M,,2019-2020,2019-2020,0,0,
