Squad,Gender,Comp,From,To,Comps,Champs,Other Names
AC Nagano Parceiro,M,,2014,2014,0,0,
AC Nagano Parceiro Ladies,F,Women Empowerment League,2021-2022,2022-2023,2,,
Albirex Niigata,M,J1 League,2014,2023,10,1,
Albirex Niigata Ladies,F,Women Empowerment League,2021-2022,2022-2023,2,,
AS Elfen Saitama,F,Women Empowerment League,2021-2022,2022-2023,2,,
Avispa Fukuoka,M,J1 League,2014,2023,10,,
Blaublitz Akita,M,J2 League,2021,2023,3,,
Cerezo Osaka,M,J1 League,2014,2023,10,,
Ehime FC,M,,2014,2021,8,,
Fagiano Okayama FC,M,J2 League,2014,2023,10,,
FC Gifu,M,,2014,2019,6,,
FC Machida Zelvia,M,J2 League,2015,2023,8,0,
FC Mito HollyHock Ibaraki,M,J2 League,2014,2023,10,,
FC Ryūkyū,M,,2019,2022,4,,
FC Tokyo,M,J1 League,2014,2023,10,,
Fujieda MYFC,M,J2 League,2023,2023,1,,
Gamba Osaka,M,J1 League,2014,2023,10,1,
Giravanz Kitakyushu,M,,2014,2021,5,,
Grulla Morioka,M,,2022,2022,1,,
Hitachi Kashiwa Reysol,M,J1 League,2014,2023,10,1,
Hokkaido Consadole Sapporo,M,J1 League,2014,2023,10,1,Consadole Sapporo
INAC Kobe Leonessa,F,Women Empowerment League,2021-2022,2022-2023,2,1,
Iwaki FC,M,J2 League,2023,2023,1,,
JEF United Ichihara Chiba,M,J2 League,2014,2023,10,,JEF United Ichihara
JEF United Ichihara Chiba Ladies,F,Women Empowerment League,2021-2022,2022-2023,2,,
Júbilo Iwata,M,J2 League,2014,2023,10,1,
Kagoshima United FC,M,,2019,2019,1,,
Kamatamare Sanuki,M,,2014,2018,5,0,
Kashima Antlers,M,J1 League,2014,2023,10,1,
Kataller Toyama,M,,2014,2014,1,,
Kawasaki Frontale,M,J1 League,2014,2023,10,4,
Kyoto Sanga FC,M,J1 League,2014,2023,10,0,Kyoto Purple Sanga FC
Matsumoto Yamaga FC,M,,2014,2021,8,1,
Montedio Yamagata,M,J2 League,2014,2023,10,,
Nagoya Grampus,M,J1 League,2014,2023,10,,Nagoya Grampus Eight
Nojima Stella Kanagawa Sagamihara,F,Women Empowerment League,2021-2022,2022-2023,2,,
NTV Beleza,F,Women Empowerment League,2021-2022,2022-2023,2,,
Oita Trinita,M,J2 League,2014,2023,9,0,
Omiya Ardija,M,J2 League,2014,2023,10,1,
Ōmiya Ardija Ventus,F,Women Empowerment League,2021-2022,2022-2023,2,,
Renofa Yamaguchi FC,M,J2 League,2016,2023,8,,
Roasso Kumamoto,M,J2 League,2014,2023,7,0,
Sagan Tosu,M,J1 League,2014,2023,10,,
Sanfrecce Hiroshima FC,M,J1 League,2014,2023,10,1,
Sanfrecce Hiroshima Regina,F,Women Empowerment League,2021-2022,2022-2023,2,,
SC Sagamihara,M,,2021,2021,1,,
Shimizu S-Pulse,M,J2 League,2014,2023,10,,
Shonan Bellmare,M,J1 League,2014,2023,10,2,
Thespakusatsu Gunma,M,J2 League,2014,2023,8,,
Tochigi SC,M,J2 League,2014,2023,8,0,
Tokushima Vortis,M,J2 League,2014,2023,10,1,
Tokyo Verdy,M,J2 League,2014,2023,10,0,Tokyo Verdy 1969
Urawa Red Diamonds,M,J1 League,2014,2023,10,,
Urawa Red Diamonds Ladies,F,Women Empowerment League,2021-2022,2022-2023,2,,
V-Varen Nagasaki,M,J2 League,2014,2023,10,,
Vegalta Sendai,M,J2 League,2014,2023,10,,
Vegalta Sendai Ladies,F,Women Empowerment League,2021-2022,2022-2023,2,,
Ventforet Kofu,M,J2 League,2014,2023,10,,
Vissel Kobe,M,J1 League,2014,2023,10,,
Yokohama F. Marinos,M,J1 League,2014,2023,10,2,
Yokohama FC,M,J1 League,2014,2023,10,,
Zweigen Kanazawa,M,J2 League,2015,2023,9,0,
