Squad,Gender,Comp,From,To,Comps,Champs,Other Names
Busan IPark,M,,2014,2020,3,0,Busan I'Park
Daegu FC,M,K League 1,2017,2023,7,,
Daejeon Citizen FC,M,K League 1,2015,2023,2,0,
FC Anyang,M,,2022,2022,0,0,
FC Seoul,M,K League 1,2014,2023,10,1,
Gangwon FC,M,K League 1,2016,2023,7,0,
Gimcheon Sangmu FC,M,,2014,2022,7,0,Sangju Sangmu FC
Gwangju FC,M,K League 1,2014,2023,6,0,
Gyeongnam FC,M,,2014,2019,3,0,
Incheon United FC,M,K League 1,2014,2023,10,,
Jeju United FC,M,K League 1,2014,2023,9,,
Jeonbuk Hyundai Motors FC,M,K League 1,2014,2023,10,7,
Jeonnam Dragons,M,,2014,2018,5,,FC
Pohang Steelers,M,K League 1,2014,2023,10,,FC
Seongnam FC,M,,2014,2022,7,0,
Suwon FC,M,K League 1,2015,2023,4,0,
Suwon Samsung Bluewings,M,K League 1,2014,2023,10,0,FC
Ulsan Hyundai FC,M,K League 1,2014,2023,10,1,
