Squad,Gender,Comp,From,To,Comps,Champs,Other Names
Aberdeen FC,M,Scottish Premiership,1991-1992,2022-2023,23,0,
Airdrieonians FC,M,,2007-2008,2021-2022,3,0,Airdrie United FC
Alloa Athletic FC,M,,2007-2008,2020-2021,6,0,
Arbroath FC,M,Scottish Championship,2011-2012,2022-2023,4,,
Ayr United FC,M,Scottish Championship,2008-2009,2022-2023,8,0,
Brechin City FC,M,,2008-2009,2017-2018,1,0,
Celtic FC,M,Scottish Premiership,1991-1992,2022-2023,23,16,
Celtic FC Women,F,,2021-2022,2021-2022,0,,
Clyde FC,M,,2007-2008,2008-2009,2,0,
Cove Rangers FC,M,Scottish Championship,2020-2021,2022-2023,1,,
Cowdenbeath FC,M,,2009-2010,2014-2015,4,0,
Dumbarton FC,M,,2011-2012,2017-2018,6,0,
Dundee FC,M,Scottish Championship,2000-2001,2022-2023,21,1,
Dundee United FC,M,Scottish Premiership,1990-1991,2022-2023,23,1,
Dunfermline Athletic FC,M,,2000-2001,2021-2022,19,1,
Falkirk FC,M,,2005-2006,2018-2019,14,0,
Forfar Athletic FC,M,,2010-2011,2018-2019,0,,
Glasgow City FC,F,,2014-2015,2022-2023,0,0,
Greenock Morton FC,M,Scottish Championship,2007-2008,2022-2023,15,0,
Gretna FC,M,,2006-2007,2007-2008,1,0,
Hamilton Academical FC,M,Scottish Championship,2007-2008,2022-2023,16,1,
Heart of Midlothian FC,M,Scottish Premiership,1990-1991,2022-2023,23,2,
Hibernian FC,M,Scottish Premiership,1992-1993,2022-2023,23,1,
Hibernian LFC,F,,2016-2017,2019-2020,0,0,
Inverness Caledonian Thistle FC,M,Scottish Championship,2004-2005,2022-2023,19,1,
Kilmarnock FC,M,Scottish Premiership,1998-1999,2022-2023,23,1,
Livingston FC,M,Scottish Premiership,2001-2002,2022-2023,18,0,
Montrose FC,M,,2018-2019,2021-2022,0,,
Motherwell FC,M,Scottish Premiership,1994-1995,2022-2023,23,0,
Partick Thistle FC,M,Scottish Championship,2002-2003,2022-2023,17,1,
Peterhead FC,M,,2008-2009,2015-2016,0,,
Queen of the South FC,M,,2007-2008,2021-2022,14,0,
Queen's Park FC,M,Scottish Championship,2021-2022,2022-2023,1,,
Raith Rovers FC,M,Scottish Championship,1995-1996,2022-2023,11,0,
Rangers FC,M,Scottish Premiership,1990-1991,2022-2023,21,7,
Rangers LFC,F,,2022-2023,2022-2023,0,,
Ross County FC,M,Scottish Premiership,2008-2009,2022-2023,15,2,
St Johnstone FC,M,Scottish Premiership,1999-2000,2022-2023,18,1,
St Mirren FC,M,Scottish Premiership,2000-2001,2022-2023,18,1,
Stirling Albion FC,M,,2007-2008,2010-2011,2,0,
Stranraer FC,M,,2013-2014,2015-2016,0,,
