club_name,player_name,club_involved_name,transfer_movement,transfer_period,fee_cleaned,league_name,Squad,country
Manchester City,Philippe Sandler,PEC Zwolle,in,Summer,2.5,Premier League,PEC Zwolle,Netherlands
Manchester United,Diogo Dalot,FC Porto,in,Summer,22.0,Premier League,FC Porto,Portugal
Liverpool FC,Alisson,AS Roma,in,Summer,62.5,Premier League,AS Roma,Italy
Liverpool FC,Alisson,AS Roma,in,Summer,62.5,Premier League,AS Roma,Italy
Liverpool FC,Naby Keïta,RB Leipzig,in,Summer,60.0,Premier League,RB Leipzig,Germany
Liverpool FC,Naby Keïta,RB Leipzig,in,Summer,60.0,Premier League,RB Leipzig,Germany
Chelsea FC,Jorginho,SSC Napoli,in,Summer,57.0,Premier League,SSC Napoli,Italy
Arsenal FC,Lucas Torreira,UC Sampdoria,in,Summer,28.65,Premier League,UC Sampdoria,Italy
Arsenal FC,Lucas Torreira,UC Sampdoria,in,Summer,28.65,Premier League,UC Sampdoria,Italy
Arsenal FC,Bernd Leno,Bayer 04 Leverkusen,in,Summer,25.0,Premier League,Bayer 04 Leverkusen,Germany
Arsenal FC,Bernd Leno,Bayer 04 Leverkusen,in,Summer,25.0,Premier League,Bayer 04 Leverkusen,Germany
Arsenal FC,Sokratis Papastathopoulos,Borussia Dortmund,in,Summer,16.0,Premier League,Borussia Dortmund,Germany
Arsenal FC,Mattéo Guendouzi,FC Lorient,in,Summer,8.0,Premier League,FC Lorient,France
Arsenal FC,Stephan Lichtsteiner,Juventus FC,in,Summer,0.0,Premier League,Juventus FC,Italy
Burnley FC,Ben Gibson,Middlesbrough FC,in,Summer,16.9,Premier League,Middlesbrough FC,England
Everton FC,Richarlison,Watford FC,in,Summer,39.2,Premier League,Watford FC,England
Everton FC,Yerry Mina,FC Barcelona,in,Summer,30.25,Premier League,FC Barcelona,Spain
Everton FC,Lucas Digne,FC Barcelona,in,Summer,20.2,Premier League,FC Barcelona,Spain
Everton FC,Kurt Zouma,Chelsea FC,in,Summer,7.9,Premier League,Chelsea FC,England
Everton FC,André Gomes,FC Barcelona,in,Summer,2.25,Premier League,FC Barcelona,Spain
Leicester City,Ricardo Pereira,FC Porto,in,Summer,22.0,Premier League,FC Porto,Portugal
Leicester City,Caglar Söyüncü,SC Freiburg,in,Summer,21.1,Premier League,SC Freiburg,Germany
Leicester City,Caglar Söyüncü,SC Freiburg,in,Summer,21.1,Premier League,SC Freiburg,Germany
Leicester City,Danny Ward,Liverpool FC,in,Summer,14.0,Premier League,Liverpool FC,England
Newcastle United,Mikel Merino,Borussia Dortmund,in,Summer,7.0,Premier League,Borussia Dortmund,Germany
Newcastle United,Fabian Schär,Deportivo de La Coruña,in,Summer,4.0,Premier League,Deportivo de La Coruña,Spain
Crystal Palace,Vicente Guaita,Getafe CF,in,Summer,0.0,Premier League,Getafe CF,Spain
Crystal Palace,Max Meyer,FC Schalke 04,in,Summer,0.0,Premier League,FC Schalke 04,Germany
AFC Bournemouth,Jefferson Lerma,Levante UD,in,Summer,30.5,Premier League,Levante UD,Spain
AFC Bournemouth,Diego Rico,CD Leganés,in,Summer,15.0,Premier League,CD Leganés,Spain
West Ham United,Felipe Anderson,SS Lazio,in,Summer,38.0,Premier League,SS Lazio,Italy
West Ham United,Andriy Yarmolenko,Borussia Dortmund,in,Summer,20.0,Premier League,Borussia Dortmund,Germany
West Ham United,Lucas Pérez,Arsenal FC,in,Summer,4.4,Premier League,Arsenal FC,England
West Ham United,Jack Wilshere,Arsenal FC,in,Summer,0.0,Premier League,Arsenal FC,England
West Ham United,Ryan Fredericks,Fulham FC,in,Summer,0.0,Premier League,Fulham FC,England
West Ham United,Carlos Sánchez,ACF Fiorentina,in,Summer,0.0,Premier League,ACF Fiorentina,Italy
Watford FC,Gerard Deulofeu,FC Barcelona,in,Summer,13.0,Premier League,FC Barcelona,Spain
Watford FC,Adam Masina,Bologna FC 1909,in,Summer,5.0,Premier League,Bologna FC 1909,Italy
Watford FC,Ken Sema,Östersunds FK,in,Summer,2.25,Premier League,Östersunds FK,Other
Watford FC,Ben Wilmot,Stevenage FC,in,Summer,1.7,Premier League,Stevenage FC,England
Brighton & Hove Albion,Alireza Jahanbakhsh,AZ Alkmaar,in,Summer,19.0,Premier League,AZ Alkmaar,Netherlands
Brighton & Hove Albion,Bernardo,RB Leipzig,in,Summer,10.0,Premier League,RB Leipzig,Germany
Brighton & Hove Albion,Bernardo,RB Leipzig,in,Summer,10.0,Premier League,RB Leipzig,Germany
Brighton & Hove Albion,Martín Montoya,Valencia CF,in,Summer,7.0,Premier League,Valencia CF,Spain
Brighton & Hove Albion,Florin Andone,Deportivo de La Coruña,in,Summer,6.0,Premier League,Deportivo de La Coruña,Spain
Brighton & Hove Albion,David Button,Fulham FC,in,Summer,4.5,Premier League,Fulham FC,England
Brighton & Hove Albion,Anders Dreyer,Esbjerg fB,in,Summer,2.2,Premier League,Esbjerg fB,Other
Brighton & Hove Albion,Jason Steele,Sunderland AFC,in,Summer,0.0,Premier League,Sunderland AFC,England
Huddersfield Town,Florent Hadergjonaj,FC Ingolstadt 04,in,Summer,5.0,Premier League,FC Ingolstadt 04,Germany
Huddersfield Town,Florent Hadergjonaj,FC Ingolstadt 04,in,Summer,5.0,Premier League,FC Ingolstadt 04,Germany
Huddersfield Town,Juninho Bacuna,FC Groningen,in,Summer,2.5,Premier League,FC Groningen,Netherlands
Huddersfield Town,Isaac Mbenza,Montpellier HSC,in,Summer,2.5,Premier League,Montpellier HSC,France
Huddersfield Town,Isaac Mbenza,Montpellier HSC,in,Summer,2.5,Premier League,Montpellier HSC,France
Huddersfield Town,Erik Durm,Borussia Dortmund,in,Summer,0.0,Premier League,Borussia Dortmund,Germany
Southampton FC,Jannik Vestergaard,Borussia Mönchengladbach,in,Summer,25.0,Premier League,Borussia Mönchengladbach,Germany
Southampton FC,Jannik Vestergaard,Borussia Mönchengladbach,in,Summer,25.0,Premier League,Borussia Mönchengladbach,Germany
Southampton FC,Stuart Armstrong,Celtic FC,in,Summer,7.95,Premier League,Celtic FC,Other
Wolverhampton Wanderers,Adama Traoré,Middlesbrough FC,in,Summer,20.0,Premier League,Middlesbrough FC,England
Wolverhampton Wanderers,Rui Patrício,Sporting CP,in,Summer,18.0,Premier League,Sporting CP,Portugal
Wolverhampton Wanderers,Rui Patrício,Sporting CP,in,Summer,18.0,Premier League,Sporting CP,Portugal
Wolverhampton Wanderers,Willy Boly,FC Porto,in,Summer,12.0,Premier League,FC Porto,Portugal
Wolverhampton Wanderers,Benik Afobe,AFC Bournemouth,in,Summer,11.4,Premier League,AFC Bournemouth,England
Wolverhampton Wanderers,Raúl Jiménez,SL Benfica,in,Summer,3.0,Premier League,SL Benfica,Portugal
Wolverhampton Wanderers,Leander Dendoncker,RSC Anderlecht,in,Summer,1.5,Premier League,RSC Anderlecht,Belgium
Wolverhampton Wanderers,Leander Dendoncker,RSC Anderlecht,in,Summer,1.5,Premier League,RSC Anderlecht,Belgium
Fulham FC,Jean Michaël Seri,OGC Nice,in,Summer,30.0,Premier League,OGC Nice,France
Fulham FC,Maxime Le Marchand,OGC Nice,in,Summer,4.0,Premier League,OGC Nice,France
Fulham FC,André Schürrle,Borussia Dortmund,in,Summer,0.4,Premier League,Borussia Dortmund,Germany
Manchester City,Ko Itakura,Kawasaki Frontale,in,Winter,1.1,Premier League,Kawasaki Frontale,Other
Chelsea FC,Christian Pulisic,Borussia Dortmund,in,Winter,64.0,Premier League,Borussia Dortmund,Germany
Chelsea FC,Gonzalo Higuaín,Juventus FC,in,Winter,7.8,Premier League,Juventus FC,Italy
