Squad,Gender,Comp,From,To,Comps,Champs,Other Names
AD Alcorcón,M,,2010-2011,2022-2023,12,0,
AD Ceuta,M,,2018-2019,2022-2023,0,0,FC
AD Lobón,M,,2019-2020,2019-2020,0,0,
AD San Juan,M,,2020-2021,2022-2023,0,0,
AD Unión Adarve,M,,2017-2018,2022-2023,0,0,
ADCF Épila,M,,2020-2021,2020-2021,0,0,
AE Prat,M,,2016-2017,2016-2017,0,0,
Águilas FC,M,,2021-2022,2021-2022,0,0,
Albacete Balompié,M,Segunda División,1991-1992,2022-2023,22,0,
Algeciras CF,M,,2003-2004,2021-2022,1,0,
Alhama CF,F,Liga F,2022-2023,2022-2023,1,,
Alicante CF,M,,2008-2009,2008-2009,1,0,
Andorra CF,M,,2016-2017,2016-2017,0,0,
Antequera CF,M,,2017-2018,2017-2018,0,0,
Arandina CF,M,,2015-2016,2015-2016,0,0,
Arcos CF,M,,2017-2018,2017-2018,0,0,
Arenas Club de Getxo,M,,2016-2017,2022-2023,0,0,
Atarfe Industrial CF,M,,2021-2022,2021-2022,0,0,
Athletic Bilbao B,M,,2015-2016,2015-2016,1,0,
Athletic Club,M,La Liga,1988-1989,2022-2023,35,0,
Athletic Club Femenino,F,Liga F,2016-2017,2022-2023,1,0,
Atlético Astorga FC,M,,2014-2015,2014-2015,0,0,
Atlético Granadilla,M,,2014-2015,2014-2015,0,0,CD
Atlético Madrid,M,La Liga,1988-1989,2022-2023,34,4,
Atlético Madrid Femenino,F,Liga F,2015-2016,2022-2023,1,0,Atlético Madrid Féminas
Atlético Malagueño,M,,2003-2004,2005-2006,3,0,Málaga CF B
Atlético Mancha Real,M,,2016-2017,2021-2022,0,0,
Atlético Porcuna CF,M,,2019-2020,2019-2020,0,0,
Atlético Saguntino,M,,2016-2017,2022-2023,0,0,
Atlético Sanluqueño CF,M,,2016-2017,2021-2022,0,0,
AUGCD Ceuta,M,,2020-2021,2020-2021,0,0,
Barakaldo CF,M,,2014-2015,2019-2020,0,0,
Bergantiños FC,M,,2019-2020,2021-2022,0,0,
Burgos CF,M,Segunda División,2001-2002,2022-2023,3,0,
CA Antoniano,M,,2019-2020,2019-2020,0,0,
CA Cirbonero,M,,2016-2017,2022-2023,0,0,
CA Osasuna,M,La Liga,1988-1989,2022-2023,29,1,
CA Pulpileño,M,,2020-2021,2021-2022,0,0,
Cádiz CF,M,La Liga,1988-1989,2022-2023,18,1,
Calvo Sotelo Puertollano CF,M,,2021-2022,2021-2022,0,0,
Caudal Deportivo,M,,2016-2017,2016-2017,0,0,
CB Ramón y Cajal,M,,2019-2020,2019-2020,0,0,
CD 6 de Junio Ceuta,M,,2021-2022,2022-2023,0,0,
CD Alcoyano,M,,2011-2012,2021-2022,1,0,
CD Algar,M,,2022-2023,2022-2023,0,,
CD Amigó,M,,2022-2023,2022-2023,0,,
CD Arenteiro,M,,2021-2022,2022-2023,0,0,
