,club_name,player_name,Age,Position,Pos,Market value,club_involved_name,Fee,transfer_movement,fee_cleaned
0,Bayern Munich,Yann SommerY. Sommer,34,Goalkeeper,GK,€5.00m,Bor. M'gladbach,€8.00m,In,€8.00m
1,Bayern Munich,Daley BlindD. Blind,32,Left-Back,LB,€6.00m,Ajax,free transfer,In,
2,Bayern Munich,João CanceloJ. Cancelo,28,Right-Back,RB,€70.00m,Man City,loan transfer,In,
3,Bayern Munich,Arijon IbrahimovicA. Ibrahimovic,17,Attacking Midfield,AM,€1.00m,FC Bayern U19,-,In,
0,Bayern Munich,Marcel SabitzerM. Sabitzer,28,Central Midfield,CM,€20.00m,Man Utd,loan transfer,Out,
0,Borussia Dortmund,Julien DuranvilleJ. Duranville,16,Right Winger,RW,€5.00m,RSC Anderlecht,€8.50m,In,€8.50m
1,Borussia Dortmund,Julian RyersonJ. Ryerson,25,Right-Back,RB,€7.50m,Union Berlin,€5.00m,In,€5.00m
0,Borussia Dortmund,Thorgan HazardT. Hazard,29,Left Winger,LW,€9.00m,PSV Eindhoven,Loan fee: €500k,Out, €500k
0,Bayer 04 Leverkusen,Gustavo PuertaG. Puerta,19,Central Midfield,CM,€1.50m,Bogotá FC,€2.00m,In,€2.00m
1,Bayer 04 Leverkusen,Noah MbambaN. Mbamba,18,Defensive Midfield,DM,€3.00m,Club Brugge,€100k,In,€100k
2,Bayer 04 Leverkusen,Patrick PentzP. Pentz,26,Goalkeeper,GK,€1.50m,Stade Reims,free transfer,In,
0,Bayer 04 Leverkusen,Zidan SertdemirZ. Sertdemir,17,Central Midfield,CM,€2.00m,Nordsjaelland,€1.00m,Out,€1.00m
1,Bayer 04 Leverkusen,PaulinhoPaulinho,22,Left Winger,LW,€7.00m,Atlético-MG,loan transfer,Out,
2,Bayer 04 Leverkusen,Gustavo PuertaG. Puerta,19,Central Midfield,CM,€1.50m,1.FC Nuremberg,loan transfer,Out,
0,RB Leipzig,Caden ClarkC. Clark,19,Attacking Midfield,AM,€2.80m,New York RB,"End of loan Dec 31, 2022",In,
1,RB Leipzig,Ben KlefischB. Klefisch,19,Central Midfield,CM,-,Viktoria Köln,"End of loan Jan 30, 2023",In,
0,RB Leipzig,Ben KlefischB. Klefisch,19,Central Midfield,CM,-,SC Paderborn II,free transfer,Out,
1,RB Leipzig,Hugo NovoaH. Novoa,19,Right Winger,RW,€5.00m,FC Basel,loan transfer,Out,
0,1.FC Union Berlin,Josip JuranovicJ. Juranovic,27,Right-Back,RB,€9.00m,Celtic,€8.55m,In,€8.55m
1,1.FC Union Berlin,Aïssa LaïdouniA. Laïdouni,26,Central Midfield,CM,€4.00m,Ferencváros,€2.60m,In,€2.60m
2,1.FC Union Berlin,Jérôme RoussillonJ. Roussillon,30,Left-Back,LB,€3.00m,VfL Wolfsburg,?,In,
3,1.FC Union Berlin,Laurenz DehlL. Dehl,20,Right Winger,RW,€200k,Bohemians,"End of loan Nov 30, 2022",In,
0,1.FC Union Berlin,Julian RyersonJ. Ryerson,25,Right-Back,RB,€7.50m,Bor. Dortmund,€5.00m,Out,€5.00m
1,1.FC Union Berlin,Genki HaraguchiG. Haraguchi,31,Attacking Midfield,AM,€2.00m,VfB Stuttgart,€1.00m,Out,€1.00m
2,1.FC Union Berlin,Tim SkarkeT. Skarke,26,Right Winger,RW,€1.00m,FC Schalke 04,Loan fee: €250k,Out, €250k
3,1.FC Union Berlin,Fabio SchneiderF. Schneider,20,Central Midfield,CM,€200k,Greifswalder FC,free transfer,Out,
4,1.FC Union Berlin,Laurenz DehlL. Dehl,21,Right Winger,RW,€200k,Viktoria Berlin,loan transfer,Out,
5,1.FC Union Berlin,Tymoteusz PuchaczT. Puchacz,23,Left-Back,LB,€1.50m,Panathinaikos,loan transfer,Out,
0,SC Freiburg,Kenneth SchmidtK. Schmidt,20,Centre-Back,CB,€750k,SC Freiburg II,-,In,
0,SC Freiburg,Kevin SchadeK. Schade,21,Right Winger,RW,€12.00m,Brentford,Loan fee: €1.00m,Out, €1.00m
1,SC Freiburg,Keven SchlotterbeckK. Schlotterbeck,25,Centre-Back,CB,€3.00m,VfL Bochum,loan transfer,Out,
