,club_name,player_name,Age,Position,Pos,Market value,club_involved_name,Fee,transfer_movement,fee_cleaned
0,Birmingham City,Kevin LongK. Long,32,Centre-Back,CB,€500k,Burnley,free transfer,In,
1,Birmingham City,Emmanuel LongeloE. Longelo,22,Left-Back,LB,€800k,West Ham U21,?,In,
2,Birmingham City,Reda KhadraR. Khadra,21,Attacking Midfield,AM,€1.00m,Brighton U21,loan transfer,In,
0,Birmingham City,Jonathan LekoJ. Leko,23,Right Winger,RW,€600k,MK Dons,?,Out,
1,Birmingham City,Przemyslaw PlachetaP. Placheta,24,Left Winger,LW,€2.00m,Norwich,"End of loan Jan 3, 2023",Out,
2,Birmingham City,Emmanuel LongeloE. Longelo,22,Left-Back,LB,€800k,West Ham U21,"End of loan Jan 30, 2023",Out,
0,Blackburn Rovers,Sorba ThomasS. Thomas,24,Right Winger,RW,€5.00m,Huddersfield,loan transfer,In,
1,Blackburn Rovers,James BrownJ. Brown,24,Right-Back,RB,€100k,Stockport,"End of loan Jan 9, 2023",In,
0,Blackburn Rovers,James BrownJ. Brown,24,Right-Back,RB,€100k,Doncaster,loan transfer,Out,
1,Blackburn Rovers,Dilan MarkandayD. Markanday,21,Right Winger,RW,€400k,Aberdeen FC,loan transfer,Out,
2,Blackburn Rovers,George HirstG. Hirst,23,Centre-Forward,CF,€800k,Leicester,"End of loan Jan 7, 2023",Out,
0,Blackpool FC,Andy LyonsA. Lyons,22,Right-Back,RB,€175k,Shamrock Rovers,€350k,In,€350k
1,Blackpool FC,Tom TrybullT. Trybull,29,Defensive Midfield,DM,€800k,SV Sandhausen,free transfer,In,
2,Blackpool FC,Curtis NelsonC. Nelson,29,Centre-Back,CB,€2.00m,Cardiff,free transfer,In,
3,Blackpool FC,Morgan RogersM. Rogers,20,Left Winger,LW,€1.80m,Man City U21,loan transfer,In,
4,Blackpool FC,Josh BowlerJ. Bowler,23,Right Winger,RW,€2.00m,Nottm Forest,loan transfer,In,
5,Blackpool FC,Charlie GoodeC. Goode,27,Centre-Back,CB,€800k,Brentford,loan transfer,In,
6,Blackpool FC,Owen DaleOwen Dale,24,Right Winger,RW,€400k,Portsmouth,"End of loan Jun 30, 2023",In,
7,Blackpool FC,Bez LubalaB. Lubala,24,Left Winger,LW,€150k,Colchester Utd.,"End of loan Dec 31, 2022",In,
0,Blackpool FC,Grant WardG. Ward,28,Right Midfield,RM,€300k,Bristol Rovers,free transfer,Out,
1,Blackpool FC,Callum WrightC. Wright,22,Central Midfield,CM,€400k,Plymouth,?,Out,
2,Blackpool FC,Theo CorbeanuT. Corbeanu,20,Right Winger,RW,€1.50m,Wolves U21,"End of loan Jan 3, 2023",Out,
3,Blackpool FC,Rhys WilliamsR. Williams,21,Centre-Back,CB,€3.00m,Liverpool,"End of loan Jan 23, 2023",Out,
0,Bristol City,Nikita HaikinN. Haikin,27,Goalkeeper,GK,€1.50m,Bodø/Glimt,free transfer,In,
1,Bristol City,Anis MehmetiA. Mehmeti,22,Attacking Midfield,AM,€500k,Wycombe,?,In,
2,Bristol City,Harry CornickH. Cornick,27,Centre-Forward,CF,€700k,Luton,?,In,
3,Bristol City,Ryley TowlerR. Towler,20,Centre-Back,CB,€100k,AFC Wimbledon,"End of loan Jan 5, 2023",In,
