,club_name,player_name,Age,Position,Pos,Market value,club_involved_name,Fee,transfer_movement,fee_cleaned
0,Ajax Amsterdam,Gerónimo RulliG. Rulli,30,Goalkeeper,GK,€10.00m,Villarreal,€8.00m,In,€8.00m
1,Ajax Amsterdam,Youri BaasY. Baas,19,Left-Back,LB,€700k,Ajax U21,-,In,
2,Ajax Amsterdam,Kian Fitz-JimK. Fitz-Jim,19,Central Midfield,CM,€800k,Ajax U21,-,In,
3,Ajax Amsterdam,Jay GorterJ. Gorter,23,Goalkeeper,GK,€1.50m,Aberdeen FC,"End of loan Jun 30, 2023",In,
0,Ajax Amsterdam,Daley BlindD. Blind,32,Left-Back,LB,€6.00m,Bayern Munich,free transfer,Out,
1,Ajax Amsterdam,Lisandro MagallánL. Magallán,29,Centre-Back,CB,€2.50m,Elche CF,free transfer,Out,
2,Ajax Amsterdam,Kik PierieK. Pierie,22,Centre-Back,CB,€1.00m,Excelsior,loan transfer,Out,
3,Ajax Amsterdam,Jay GorterJ. Gorter,22,Goalkeeper,GK,€1.50m,Aberdeen FC,loan transfer,Out,
4,Ajax Amsterdam,Mohamed IhattarenM. Ihattaren,20,Attacking Midfield,AM,€3.00m,Juventus,"End of loan Dec 31, 2022",Out,
5,Ajax Amsterdam,Lucas OcamposL. Ocampos,28,Left Winger,LW,€18.00m,Sevilla FC,"End of loan Jan 17, 2023",Out,
0,AZ Alkmaar,Djordje MihailovicD. Mihailovic,24,Attacking Midfield,AM,€6.00m,Montréal,€6.00m,In,€6.00m
1,AZ Alkmaar,Sven MijnansS. Mijnans,22,Attacking Midfield,AM,€1.00m,Sparta R.,€2.50m,In,€2.50m
2,AZ Alkmaar,Mathew RyanM. Ryan,30,Goalkeeper,GK,€5.00m,FC Copenhagen,€500k,In,€500k
3,AZ Alkmaar,Wouter GoesW. Goes,18,Centre-Back,CB,€100k,AZ Alkmaar U21,-,In,
0,AZ Alkmaar,Hakon EvjenH. Evjen,22,Attacking Midfield,AM,€1.80m,Bröndby IF,€1.61m,Out,€1.61m
1,AZ Alkmaar,Peter Vindahl JensenP. Vindahl Jensen,24,Goalkeeper,GK,€650k,1.FC Nuremberg,loan transfer,Out,
2,AZ Alkmaar,Peer KoopmeinersP. Koopmeiners,22,Defensive Midfield,DM,€600k,Excelsior,loan transfer,Out,
0,SC Cambuur Leeuwarden,Navarone FoorN. Foor,30,Attacking Midfield,AM,€500k,Riga,free transfer,In,
1,SC Cambuur Leeuwarden,Björn JohnsenB. Johnsen,31,Centre-Forward,CF,€300k,Montréal,free transfer,In,
2,SC Cambuur Leeuwarden,Mimoun MahiM. Mahi,28,Centre-Forward,CF,€1.00m,FC Utrecht,loan transfer,In,
3,SC Cambuur Leeuwarden,Ben RienstraB. Rienstra,32,Central Midfield,CM,€300k,Without Club,-,In,
0,SC Cambuur Leeuwarden,Tom BoereTom Boere,30,Centre-Forward,CF,€300k,NAC Breda,?,Out,
1,SC Cambuur Leeuwarden,Jasper ter HeideJ. ter Heide,23,Defensive Midfield,DM,€200k,Without Club,-,Out,
0,FC Emmen,Oussama DarfalouO. Darfalou,29,Centre-Forward,CF,€700k,MAS Fes,free transfer,In,
1,FC Emmen,Mike te WierikM. te Wierik,30,Centre-Back,CB,€650k,FC Groningen,free transfer,In,
2,FC Emmen,Dennis VosD. Vos,21,Left-Back,LB,€350k,PSV U21,?,In,
3,FC Emmen,Jeremy AntonisseJ. Antonisse,20,Left Winger,LW,€300k,PSV U21,loan transfer,In,
4,FC Emmen,Danny HoesenD. Hoesen,32,Centre-Forward,CF,€400k,Without Club,-,In,
0,FC Emmen,Remi van EkerisR. van Ekeris,20,Central Midfield,CM,€25k,FC Lisse,free transfer,Out,
1,FC Emmen,Gonzalo SánchezG. Sánchez,22,Centre-Forward,CF,€200k,Without Club,-,Out,
2,FC Emmen,Fernando PachecoF. Pacheco,23,Right Winger,RW,€500k,Sport. Cristal,"End of loan Dec 31, 2022",Out,
0,Excelsior Rotterdam,Noah NaujoksN. Naujoks,20,Attacking Midfield,AM,€400k,Feyenoord,?,In,
1,Excelsior Rotterdam,Kik PierieK. Pierie,22,Centre-Back,CB,€1.00m,Ajax,loan transfer,In,
2,Excelsior Rotterdam,Peer KoopmeinersP. Koopmeiners,22,Defensive Midfield,DM,€600k,AZ Alkmaar,loan transfer,In,
3,Excelsior Rotterdam,Arthur ZagréA. Zagré,21,Left-Back,LB,€800k,Monaco,loan transfer,In,
4,Excelsior Rotterdam,Vicente BesuijenV. Besuijen,21,Right Winger,RW,€600k,Aberdeen FC,loan transfer,In,
0,Excelsior Rotterdam,No departures,No departures,No departures,No departures,No departures,No departures,,Out,
0,Feyenoord Rotterdam,Neraysho KasanwirjoN. Kasanwirjo,20,Centre-Back,CB,€2.50m,FC Groningen,€1.50m,In,€1.50m
0,Feyenoord Rotterdam,Noah NaujoksN. Naujoks,20,Attacking Midfield,AM,€400k,Excelsior,?,Out,
1,Feyenoord Rotterdam,Fredrik BjörkanF. Björkan,24,Left-Back,LB,€1.50m,Hertha BSC,"End of loan Jan 3, 2023",Out,
0,Fortuna Sittard,Thomas BuitinkT. Buitink,22,Centre-Forward,CF,€1.00m,Vitesse,loan transfer,In,
1,Fortuna Sittard,Gianmarco CangianoG. Cangiano,21,Left Winger,LW,€800k,Bologna,loan transfer,In,
2,Fortuna Sittard,Stipe RadicS. Radic,22,Centre-Back,CB,€800k,Without Club,-,In,
3,Fortuna Sittard,Kristijan BistrovicK. Bistrovic,24,Central Midfield,CM,€2.20m,CSKA Moscow,loan transfer,In,
0,Fortuna Sittard,Mats SeuntjensM. Seuntjens,30,Centre-Forward,CF,€1.20m,RKC Waalwijk,free transfer,Out,
1,Fortuna Sittard,Vasilios SourlisV. Sourlis,20,Central Midfield,CM,€500k,Olympiacos,"End of loan Jan 16, 2023",Out,
2,Fortuna Sittard,Cole BassettC. Bassett,21,Attacking Midfield,AM,€2.00m,Colorado,"End of loan Dec 31, 2022",Out,
0,Go Ahead Eagles,Darío SerraD. Serra,20,Left Winger,LW,€25k,Valencia B,loan transfer,In,
1,Go Ahead Eagles,Fredrik OppegardF. Oppegard,20,Left-Back,LB,€600k,PSV Eindhoven,loan transfer,In,
0,Go Ahead Eagles,Tesfaldet TekieT. Tekie,25,Central Midfield,CM,€750k,Hammarby,free transfer,Out,
1,Go Ahead Eagles,Justin BakkerJ. Bakker,24,Centre-Back,CB,€300k,KuPS,?,Out,
2,Go Ahead Eagles,Martijn BerdenM. Berden,25,Right Winger,RW,€250k,VVV-Venlo,loan transfer,Out,
0,FC Groningen,Johan HoveJ. Hove,22,Central Midfield,CM,€1.70m,Strømsgodset,€1.03m,In,€1.03m
1,FC Groningen,Aimar SherA. Sher,20,Central Midfield,CM,€1.00m,Spezia Calcio,loan transfer,In,
2,FC Groningen,Mads Bech SörensenM. Bech Sörensen,24,Centre-Back,CB,€4.00m,Brentford,loan transfer,In,
3,FC Groningen,Matej ChalusM. Chalus,24,Centre-Back,CB,€600k,Malmö FF,loan transfer,In,
4,FC Groningen,Oliver AntmanO. Antman,21,Right Winger,RW,€700k,Nordsjaelland,loan transfer,In,
5,FC Groningen,Elvis ManuE. Manu,29,Centre-Forward,CF,€600k,Botev Plovdiv,loan transfer,In,
0,FC Groningen,Neraysho KasanwirjoN. Kasanwirjo,20,Centre-Back,CB,€2.50m,Feyenoord,€1.50m,Out,€1.50m
1,FC Groningen,Mike te WierikM. te Wierik,30,Centre-Back,CB,€650k,FC Emmen,free transfer,Out,
2,FC Groningen,Cyril NgongeC. Ngonge,22,Right Winger,RW,€1.30m,Hellas Verona,?,Out,
3,FC Groningen,Jan HoekstraJ. Hoekstra,24,Goalkeeper,GK,€350k,PEC Zwolle,loan transfer,Out,
4,FC Groningen,Marin SverkoM. Sverko,24,Centre-Back,CB,€500k,Venezia,loan transfer,Out,
0,SC Heerenveen,Daniel KarlsbakkD. Karlsbakk,19,Centre-Forward,CF,€750k,Viking FK,€2.50m,In,€2.50m
1,SC Heerenveen,Osame SahraouiO. Sahraoui,21,Left Winger,LW,€2.00m,Vålerenga,€1.70m,In,€1.70m
2,SC Heerenveen,Jeffrey BrumaJ. Bruma,31,Centre-Back,CB,€450k,Kasimpasa,free transfer,In,
3,SC Heerenveen,Pelle van AmersfoortP. van Amersfoort,26,Attacking Midfield,AM,€1.50m,Without Club,-,In,
4,SC Heerenveen,Ché NunnelyC. Nunnely,23,Right Winger,RW,€700k,Without Club,-,In,
5,SC Heerenveen,Joaquín FernándezJ. Fernández,23,Centre-Back,CB,€300k,CA Atenas,"End of loan Dec 31, 2022",In,
0,SC Heerenveen,Amin SarrAmin Sarr,21,Centre-Forward,CF,€3.50m,Olympique Lyon,€11.00m,Out,€11.00m
1,SC Heerenveen,Joaquín FernándezJ. Fernández,23,Centre-Back,CB,€300k,Boston River,free transfer,Out,
0,NEC Nijmegen,Anthony MusabaA. Musaba,22,Right Winger,RW,€900k,Monaco,loan transfer,In,
0,NEC Nijmegen,Mikkel DuelundM. Duelund,25,Left Winger,LW,€700k,Dynamo Kyiv,"End of loan Jan 29, 2023",Out,
0,PSV Eindhoven,Thorgan HazardT. Hazard,29,Left Winger,LW,€9.00m,Bor. Dortmund,Loan fee: €500k,In, €500k
1,PSV Eindhoven,Fábio SilvaF. Silva,20,Centre-Forward,CF,€13.00m,Wolves,loan transfer,In,
2,PSV Eindhoven,Patrick van AanholtP. van Aanholt,32,Left-Back,LB,€3.20m,Galatasaray,loan transfer,In,
3,PSV Eindhoven,BrumaBruma,28,Left Winger,LW,€3.60m,Fenerbahce,"End of loan Jan 19, 2023",In,
0,PSV Eindhoven,Cody GakpoC. Gakpo,23,Left Winger,LW,€60.00m,Liverpool,€42.00m,Out,€42.00m
1,PSV Eindhoven,Noni MaduekeN. Madueke,20,Right Winger,RW,€15.00m,Chelsea,€35.00m,Out,€35.00m
2,PSV Eindhoven,BrumaBruma,28,Left Winger,LW,€3.60m,Fenerbahce,€4.25m,Out,€4.25m
3,PSV Eindhoven,Marco van GinkelM. van Ginkel,30,Central Midfield,CM,€1.40m,Vitesse,?,Out,
4,PSV Eindhoven,Yorbe VertessenY. Vertessen,22,Centre-Forward,CF,€4.50m,Union SG,loan transfer,Out,
5,PSV Eindhoven,Philipp MaxP. Max,29,Left-Back,LB,€6.00m,E. Frankfurt,loan transfer,Out,
6,PSV Eindhoven,Fredrik OppegardF. Oppegard,20,Left-Back,LB,€600k,Go Ahead Eagles,loan transfer,Out,
7,PSV Eindhoven,Ki-Jana HoeverK. Hoever,21,Right-Back,RB,€4.00m,Wolves,"End of loan Jan 25, 2023",Out,
0,RKC Waalwijk,Mats SeuntjensM. Seuntjens,30,Centre-Forward,CF,€1.20m,Fortuna Sittard,free transfer,In,
1,RKC Waalwijk,Chris LokesaC. Lokesa,18,Attacking Midfield,AM,€400k,RSCA Futures,?,In,
0,RKC Waalwijk,No departures,No departures,No departures,No departures,No departures,No departures,,Out,
0,Sparta Rotterdam,Pedro AlemañP. Alemañ,20,Attacking Midfield,AM,€100k,Valencia B,free transfer,In,
1,Sparta Rotterdam,Rick MeissenR. Meissen,20,Centre-Back,CB,€300k,Utrecht U21,?,In,
2,Sparta Rotterdam,Elias Hoff MelkersenE. Melkersen,20,Centre-Forward,CF,€400k,Hibernian FC,loan transfer,In,
0,Sparta Rotterdam,Sven MijnansS. Mijnans,22,Attacking Midfield,AM,€1.00m,AZ Alkmaar,€2.50m,Out,€2.50m
