,club_name,player_name,Age,Position,Pos,Market value,club_involved_name,Fee,transfer_movement,fee_cleaned
0,FC Porto,Bernardo FolhaB. Folha,20,Central Midfield,CM,€900k,FC Porto B,-,In,
1,FC Porto,NanuNanu,28,Right-Back,RB,€1.50m,Dallas,"End of loan Dec 31, 2022",In,
0,FC Porto,NanuNanu,28,Right-Back,RB,€1.50m,Santa Clara,loan transfer,Out,
1,FC Porto,Bruno CostaB. Costa,25,Central Midfield,CM,€2.50m,FC Porto B,-,Out,
0,Sporting CP,Ousmane DiomandeO. Diomande,19,Centre-Back,CB,€400k,FC Midtjylland,€7.50m,In,€7.50m
1,Sporting CP,Héctor BellerínH. Bellerín,27,Right-Back,RB,€15.00m,Barcelona,€1.00m,In,€1.00m
2,Sporting CP,Mateo TanlongoM. Tanlongo,19,Defensive Midfield,DM,€1.50m,Rosario Central,free transfer,In,
3,Sporting CP,Youssef ChermitiY. Chermiti,18,Centre-Forward,CF,-,Sporting B,-,In,
4,Sporting CP,Gonçalo EstevesG. Esteves,18,Right-Back,RB,€3.00m,Estoril Praia,"End of loan Dec 31, 2022",In,
5,Sporting CP,Luiz PhellypeLuiz Phellype,29,Centre-Forward,CF,€1.30m,FC Tokyo,"End of loan Dec 31, 2022",In,
0,Sporting CP,Pedro PorroP. Porro,23,Right-Back,RB,€25.00m,Spurs,Loan fee: €5.00m,Out, €5.00m
1,Sporting CP,Luiz PhellypeLuiz Phellype,29,Centre-Forward,CF,€1.30m,OFI Crete FC,free transfer,Out,
2,Sporting CP,José MarsàJ. Marsà,20,Centre-Back,CB,€2.00m,Sporting Gijón,loan transfer,Out,
0,SL Benfica,Andreas SchjelderupA. Schjelderup,18,Left Winger,LW,€9.00m,Nordsjaelland,€9.00m,In,€9.00m
1,SL Benfica,Casper TengstedtC. Tengstedt,22,Centre-Forward,CF,€3.50m,Rosenborg,€7.00m,In,€7.00m
2,SL Benfica,Gonçalo GuedesG. Guedes,26,Left Winger,LW,€32.00m,Wolves,loan transfer,In,
3,SL Benfica,João NevesJ. Neves,18,Attacking Midfield,AM,€500k,Benfica B,-,In,
4,SL Benfica,Germán ContiG. Conti,28,Centre-Back,CB,€2.00m,América-MG,"End of loan Dec 31, 2022",In,
5,SL Benfica,Haris SeferovicH. Seferovic,30,Centre-Forward,CF,€6.00m,Galatasaray,"End of loan Jan 30, 2023",In,
6,SL Benfica,FerroFerro,25,Centre-Back,CB,€2.50m,Vitesse,"End of loan Feb 14, 2023",In,
7,SL Benfica,Yony GonzálezY. González,28,Right Winger,RW,€700k,Deportivo Cali,"End of loan Dec 31, 2022",In,
0,SL Benfica,Enzo FernándezE. Fernández,22,Central Midfield,CM,€55.00m,Chelsea,€121.00m,Out,€121.00m
1,SL Benfica,Diogo GonçalvesD. Gonçalves,25,Right Winger,RW,€5.00m,FC Copenhagen,€2.00m,Out,€2.00m
2,SL Benfica,Tomás TavaresT. Tavares,21,Right-Back,RB,€2.00m,Spartak Moscow,€2.00m,Out,€2.00m
3,SL Benfica,Gil DiasGil Dias,26,Right Winger,RW,€2.00m,VfB Stuttgart,€1.00m,Out,€1.00m
4,SL Benfica,FerroFerro,25,Centre-Back,CB,€2.50m,Hajduk Split,€550k,Out,€550k
5,SL Benfica,Rodrigo PinhoR. Pinho,31,Centre-Forward,CF,€2.00m,Coritiba FC,€500k,Out,€500k
6,SL Benfica,John Anthony BrooksJ. Brooks,29,Centre-Back,CB,€6.00m,TSG Hoffenheim,€300k,Out,€300k
7,SL Benfica,Yony GonzálezY. González,28,Right Winger,RW,€700k,Portimonense,free transfer,Out,
8,SL Benfica,Helton LeiteH. Leite,32,Goalkeeper,GK,€2.00m,Antalyaspor,free transfer,Out,
9,SL Benfica,Germán ContiG. Conti,28,Centre-Back,CB,€2.00m,Loko Moscow,free transfer,Out,
10,SL Benfica,Henrique AraújoH. Araújo,21,Centre-Forward,CF,€5.00m,Watford,loan transfer,Out,
