,club_name,player_name,Age,Position,Pos,Market value,club_involved_name,Fee,transfer_movement,fee_cleaned
0,Paris Saint-Germain,Moutanabi BodiangM. Bodiang,19,Right-Back,RB,€100k,Le Puy Foot,"End of loan Jan 28, 2023",In,
1,Paris Saint-Germain,Ander HerreraA. Herrera,33,Central Midfield,CM,€4.00m,Athletic,"End of loan Jan 30, 2023",In,
0,Paris Saint-Germain,Pablo SarabiaP. Sarabia,30,Right Winger,RW,€20.00m,Wolves,€5.00m,Out,€5.00m
1,Paris Saint-Germain,Ander HerreraA. Herrera,33,Central Midfield,CM,€4.00m,Athletic,free transfer,Out,
2,Paris Saint-Germain,Mathyas RandriamamyM. Randriamamy,19,Goalkeeper,GK,€150k,FC Sète 34,loan transfer,Out,
3,Paris Saint-Germain,Ayman KariA. Kari,18,Central Midfield,CM,€500k,FC Lorient,loan transfer,Out,
4,Paris Saint-Germain,Keylor NavasK. Navas,36,Goalkeeper,GK,€5.00m,Nottm Forest,loan transfer,Out,
0,Olympique Marseille,VitinhaVitinha,22,Centre-Forward,CF,€15.00m,SC Braga,€32.00m,In,€32.00m
1,Olympique Marseille,Azzedine OunahiA. Ounahi,22,Central Midfield,CM,€15.00m,Angers SCO,€8.00m,In,€8.00m
2,Olympique Marseille,Ruslan MalinovskyiR. Malinovskyi,29,Attacking Midfield,AM,€18.00m,Atalanta BC,loan transfer,In,
3,Olympique Marseille,Oussama TarghallineO. Targhalline,20,Central Midfield,CM,€400k,Alanyaspor,"End of loan Dec 15, 2022",In,
0,Olympique Marseille,GersonGerson,25,Central Midfield,CM,€18.00m,Flamengo,€15.00m,Out,€15.00m
1,Olympique Marseille,Bamba DiengB. Dieng,22,Centre-Forward,CF,€8.00m,FC Lorient,€7.00m,Out,€7.00m
2,Olympique Marseille,Oussama TarghallineO. Targhalline,20,Central Midfield,CM,€400k,AC Le Havre,free transfer,Out,
3,Olympique Marseille,Luis SuárezL. Suárez,25,Centre-Forward,CF,€9.00m,UD Almería,loan transfer,Out,
4,Olympique Marseille,Isaak TouréI. Touré,19,Centre-Back,CB,€5.00m,AJ Auxerre,loan transfer,Out,
