,club_name,player_name,Age,Position,Pos,Market value,club_involved_name,Fee,transfer_movement,fee_cleaned
0,Arsenal FC,Jakub KiwiorJ. Kiwior,22,Centre-Back,CB,€8.00m,Spezia Calcio,€25.00m,In,€25.00m
1,Arsenal FC,Leandro TrossardL. Trossard,28,Left Winger,LW,€30.00m,Brighton,€24.00m,In,€24.00m
2,Arsenal FC,JorginhoJorginho,31,Defensive Midfield,DM,€35.00m,Chelsea,€11.30m,In,€11.30m
0,Arsenal FC,MarquinhosMarquinhos,19,Right Winger,RW,€10.00m,Norwich,loan transfer,Out,
1,Arsenal FC,Albert Sambi LokongaA. Lokonga,23,Central Midfield,CM,€15.00m,Crystal Palace,loan transfer,Out,
2,Arsenal FC,Cédric SoaresC. Soares,31,Right-Back,RB,€4.00m,Fulham,loan transfer,Out,
0,Aston Villa,Jhon DuránJ. Durán,19,Centre-Forward,CF,€6.00m,Chicago,€16.64m,In,€16.64m
1,Aston Villa,Álex MorenoÁ. Moreno,29,Left-Back,LB,€20.00m,Real Betis,€13.50m,In,€13.50m
2,Aston Villa,Viljami SinisaloV. Sinisalo,21,Goalkeeper,GK,€200k,Burton Albion,"End of loan Jan 2, 2023",In,
3,Aston Villa,Bertrand TraoréB. Traoré,27,Right Winger,RW,€14.00m,Basaksehir,"End of loan Jan 31, 2023",In,
0,Aston Villa,Danny IngsD. Ings,30,Centre-Forward,CF,€16.00m,West Ham,€12.00m,Out,€12.00m
1,Aston Villa,Frédéric GuilbertF. Guilbert,28,Right-Back,RB,€5.00m,R. Strasbourg,free transfer,Out,
2,Aston Villa,Cameron ArcherC. Archer,21,Centre-Forward,CF,€8.00m,Middlesbrough,loan transfer,Out,
3,Aston Villa,Morgan SansonM. Sanson,28,Central Midfield,CM,€6.00m,R. Strasbourg,loan transfer,Out,
4,Aston Villa,Marvelous NakambaM. Nakamba,29,Defensive Midfield,DM,€5.00m,Luton,loan transfer,Out,
5,Aston Villa,Ludwig AugustinssonL. Augustinsson,28,Left-Back,LB,€4.00m,Sevilla FC,"End of loan Jan 29, 2023",Out,
6,Aston Villa,Jan BednarekJ. Bednarek,26,Centre-Back,CB,€18.00m,Southampton,"End of loan Jan 23, 2023",Out,
0,AFC Bournemouth,Ilya ZabarnyiI. Zabarnyi,20,Centre-Back,CB,€15.00m,Dynamo Kyiv,€22.70m,In,€22.70m
1,AFC Bournemouth,Dango OuattaraD. Ouattara,20,Right Winger,RW,€10.00m,FC Lorient,€22.50m,In,€22.50m
2,AFC Bournemouth,Antoine SemenyoA. Semenyo,23,Centre-Forward,CF,€3.00m,Bristol City,€10.25m,In,€10.25m
3,AFC Bournemouth,Matías ViñaM. Viña,25,Left-Back,LB,€6.00m,AS Roma,Loan fee: €750k,In, €750k
4,AFC Bournemouth,Darren RandolphD. Randolph,35,Goalkeeper,GK,€500k,West Ham,free transfer,In,
5,AFC Bournemouth,Hamed Junior TraorèH. Traorè,22,Attacking Midfield,AM,€22.00m,Sassuolo,loan transfer,In,
6,AFC Bournemouth,Gavin KilkennyG. Kilkenny,22,Central Midfield,CM,€700k,Stoke City,"End of loan Jan 30, 2023",In,
0,AFC Bournemouth,James HillJ. Hill,20,Centre-Back,CB,€1.00m,Heart of Midl.,loan transfer,Out,
1,AFC Bournemouth,Emiliano MarcondesE. Marcondes,27,Attacking Midfield,AM,€1.80m,Nordsjaelland,loan transfer,Out,
2,AFC Bournemouth,Jamal LoweJ. Lowe,28,Right Winger,RW,€1.50m,QPR,loan transfer,Out,
3,AFC Bournemouth,Will DennisW. Dennis,22,Goalkeeper,GK,€200k,Slough,loan transfer,Out,
4,AFC Bournemouth,Gavin KilkennyG. Kilkenny,22,Central Midfield,CM,€700k,Charlton,loan transfer,Out,
5,AFC Bournemouth,Siriki DembéléS. Dembélé,26,Left Winger,LW,€2.50m,AJ Auxerre,loan transfer,Out,
6,AFC Bournemouth,Ben PearsonB. Pearson,28,Central Midfield,CM,€2.50m,Stoke City,loan transfer,Out,
0,Brentford FC,Kevin SchadeK. Schade,21,Right Winger,RW,€12.00m,SC Freiburg,Loan fee: €1.00m,In, €1.00m
1,Brentford FC,Tariqe FosuT. Fosu,27,Left Winger,LW,€2.00m,Stoke City,"End of loan Jan 19, 2023",In,
2,Brentford FC,Mads Bech SörensenM. Bech Sörensen,23,Centre-Back,CB,€4.00m,OGC Nice,"End of loan Jan 1, 2023",In,
3,Brentford FC,Fin StevensF. Stevens,19,Right-Back,RB,€400k,Swansea,"End of loan Jan 1, 2023",In,
4,Brentford FC,Ellery BalcombeE. Balcombe,23,Goalkeeper,GK,€300k,Crawley Town,"End of loan Jan 17, 2023",In,
0,Brentford FC,Mads Bech SörensenM. Bech Sörensen,24,Centre-Back,CB,€4.00m,FC Groningen,loan transfer,Out,
1,Brentford FC,Ellery BalcombeE. Balcombe,23,Goalkeeper,GK,€300k,Bristol Rovers,loan transfer,Out,
2,Brentford FC,Tariqe FosuT. Fosu,27,Left Winger,LW,€2.00m,Rotherham,loan transfer,Out,
3,Brentford FC,Charlie GoodeC. Goode,27,Centre-Back,CB,€800k,Blackpool,loan transfer,Out,
4,Brentford FC,Sergi CanósS. Canós,25,Right Winger,RW,€12.00m,Olympiacos,loan transfer,Out,
0,Brighton & Hove Albion,Facundo BuonanotteF. Buonanotte,18,Attacking Midfield,AM,€9.00m,Rosario Central,€6.00m,In,€6.00m
1,Brighton & Hove Albion,Yasin AyariY. Ayari,19,Central Midfield,CM,€4.00m,AIK,€4.00m,In,€4.00m
2,Brighton & Hove Albion,Aaron ConnollyA. Connolly,22,Centre-Forward,CF,€5.00m,Venezia,"End of loan Jan 5, 2023",In,
3,Brighton & Hove Albion,Shane DuffyS. Duffy,31,Centre-Back,CB,€2.50m,Fulham,"End of loan Jan 30, 2023",In,
0,Brighton & Hove Albion,Leandro TrossardL. Trossard,28,Left Winger,LW,€30.00m,Arsenal,€24.00m,Out,€24.00m
1,Brighton & Hove Albion,Shane DuffyS. Duffy,31,Centre-Back,CB,€2.50m,Fulham,?,Out,
2,Brighton & Hove Albion,Aaron ConnollyA. Connolly,22,Centre-Forward,CF,€5.00m,Hull City,loan transfer,Out,
0,Chelsea FC,Enzo FernándezE. Fernández,22,Central Midfield,CM,€55.00m,Benfica,€121.00m,In,€121.00m
1,Chelsea FC,Mykhaylo MudrykM. Mudryk,22,Left Winger,LW,€40.00m,Shakhtar D.,€70.00m,In,€70.00m
2,Chelsea FC,Benoît BadiashileB. Badiashile,21,Centre-Back,CB,€40.00m,Monaco,€38.00m,In,€38.00m
3,Chelsea FC,Noni MaduekeN. Madueke,20,Right Winger,RW,€15.00m,PSV Eindhoven,€35.00m,In,€35.00m
4,Chelsea FC,Malo GustoM. Gusto,19,Right-Back,RB,€15.00m,Olympique Lyon,€30.00m,In,€30.00m
5,Chelsea FC,Andrey SantosA. Santos,18,Central Midfield,CM,€12.00m,Vasco da Gama,€12.50m,In,€12.50m
6,Chelsea FC,David Datro FofanaD. Fofana,20,Centre-Forward,CF,€7.00m,Molde,€12.00m,In,€12.00m
7,Chelsea FC,João FélixJoão Félix,23,Second Striker,SS,€50.00m,Atlético Madrid,Loan fee: €11.00m,In, €11.00m
8,Chelsea FC,Gabriel SloninaG. Slonina,18,Goalkeeper,GK,€8.00m,Chicago,"End of loan Dec 31, 2022",In,
0,Chelsea FC,JorginhoJorginho,31,Defensive Midfield,DM,€35.00m,Arsenal,€11.30m,Out,€11.30m
1,Chelsea FC,Malo GustoM. Gusto,19,Right-Back,RB,€15.00m,Olympique Lyon,loan transfer,Out,
0,Crystal Palace,Naouirou AhamadaN. Ahamada,20,Central Midfield,CM,€5.50m,VfB Stuttgart,€12.00m,In,€12.00m
1,Crystal Palace,Albert Sambi LokongaA. Lokonga,23,Central Midfield,CM,€15.00m,Arsenal,loan transfer,In,
2,Crystal Palace,Luke PlangeL. Plange,20,Centre-Forward,CF,€600k,RWDM,"End of loan Jan 29, 2023",In,
0,Crystal Palace,Jack ButlandJ. Butland,29,Goalkeeper,GK,€1.50m,Man Utd,loan transfer,Out,
1,Crystal Palace,Malcolm EbioweiM. Ebiowei,19,Right Winger,RW,€3.00m,Hull City,loan transfer,Out,
2,Crystal Palace,Luke PlangeL. Plange,20,Centre-Forward,CF,€600k,Lincoln City,loan transfer,Out,
0,Everton FC,Ellis SimmsE. Simms,21,Centre-Forward,CF,€1.20m,Everton U21,-,In,
1,Everton FC,Niels NkounkouN. Nkounkou,22,Left-Back,LB,€2.50m,Cardiff,"End of loan Jan 13, 2023",In,
0,Everton FC,Anthony GordonA. Gordon,21,Left Winger,LW,€40.00m,Newcastle,€45.60m,Out,€45.60m
1,Everton FC,Salomón RondónS. Rondón,33,Centre-Forward,CF,€2.00m,River Plate,free transfer,Out,
2,Everton FC,Eldin JakupovicE. Jakupovic,38,Goalkeeper,GK,€200k,LAFC,free transfer,Out,
3,Everton FC,Niels NkounkouN. Nkounkou,22,Left-Back,LB,€2.50m,Saint-Étienne,loan transfer,Out,
0,Fulham FC,Sasa LukicS. Lukic,26,Central Midfield,CM,€13.00m,Torino,€9.10m,In,€9.10m
1,Fulham FC,Shane DuffyS. Duffy,31,Centre-Back,CB,€2.50m,Brighton,?,In,
2,Fulham FC,Cédric SoaresC. Soares,31,Right-Back,RB,€4.00m,Arsenal,loan transfer,In,
3,Fulham FC,Tyrese FrancoisT. Francois,22,Central Midfield,CM,€500k,HNK Gorica,"End of loan Jan 10, 2023",In,
4,Fulham FC,Anthony KnockaertA. Knockaert,31,Right Winger,RW,€1.20m,Volos NPS,"End of loan Jan 10, 2023",In,
0,Fulham FC,Josh OnomahJ. Onomah,25,Central Midfield,CM,€2.50m,Preston,free transfer,Out,
1,Fulham FC,Anthony KnockaertA. Knockaert,31,Right Winger,RW,€1.20m,Huddersfield,loan transfer,Out,
2,Fulham FC,Nathaniel ChalobahN. Chalobah,28,Defensive Midfield,DM,€2.50m,West Brom,?,Out,
3,Fulham FC,Kevin MbabuK. Mbabu,27,Right-Back,RB,€7.00m,Servette FC,loan transfer,Out,
4,Fulham FC,Shane DuffyS. Duffy,31,Centre-Back,CB,€2.50m,Brighton,"End of loan Jan 30, 2023",Out,
0,Leeds United,Georginio RutterG. Rutter,20,Centre-Forward,CF,€16.00m,TSG Hoffenheim,€28.00m,In,€28.00m
1,Leeds United,Maximilian WöberM. Wöber,24,Centre-Back,CB,€12.00m,RB Salzburg,€12.00m,In,€12.00m
2,Leeds United,Weston McKennieW. McKennie,24,Central Midfield,CM,€21.00m,Juventus,Loan fee: €1.25m,In, €1.25m
0,Leeds United,Diego LlorenteD. Llorente,29,Centre-Back,CB,€12.00m,AS Roma,Loan fee: €500k,Out, €500k
1,Leeds United,Mateusz KlichM. Klich,32,Central Midfield,CM,€2.00m,D.C. United,free transfer,Out,
2,Leeds United,Cody DramehC. Drameh,21,Right-Back,RB,€3.00m,Luton,loan transfer,Out,
3,Leeds United,Joe GelhardtJ. Gelhardt,20,Centre-Forward,CF,€8.00m,Sunderland,loan transfer,Out,
0,Leicester City,Harry SouttarH. Souttar,24,Centre-Back,CB,€6.00m,Stoke City,€17.00m,In,€17.00m
