,club_name,player_name,Age,Position,Pos,Market value,club_involved_name,Fee,transfer_movement,fee_cleaned
0,Zenit St. Petersburg,Nuraly AlipN. Alip,23,Centre-Back,CB,€1.20m,Kairat Almaty,€2.00m,In,€2.00m
1,Zenit St. Petersburg,Robert RenanRobert Renan,19,Centre-Back,CB,€3.00m,Corinthians,free transfer,In,
2,Zenit St. Petersburg,Aleksandr VasyutinA. Vasyutin,27,Goalkeeper,GK,€400k,Djurgården,"End of loan Dec 31, 2022",In,
3,Zenit St. Petersburg,Yuri AlbertoYuri Alberto,21,Centre-Forward,CF,€16.00m,Corinthians,"End of loan Jan 9, 2023",In,
0,Zenit St. Petersburg,Dejan LovrenD. Lovren,33,Centre-Back,CB,€3.50m,Olympique Lyon,€2.00m,Out,€2.00m
1,Zenit St. Petersburg,Yuri AlbertoYuri Alberto,21,Centre-Forward,CF,€16.00m,Corinthians,free transfer,Out,
2,Zenit St. Petersburg,Nuraly AlipN. Alip,23,Centre-Back,CB,€1.20m,Kairat Almaty,"End of loan Dec 31, 2022",Out,
3,Zenit St. Petersburg,IvanIvan,25,Goalkeeper,GK,€1.80m,Corinthians,"End of loan Jan 10, 2023",Out,
0,FC Sochi,No new arrivals,No new arrivals,No new arrivals,No new arrivals,No new arrivals,No new arrivals,,In,
0,FC Sochi,No departures,No departures,No departures,No departures,No departures,No departures,,Out,
0,Dynamo Moscow,Milan MajstorovicM. Majstorovic,18,Centre-Back,CB,€400k,Vojvodina U19,€1.20m,In,€1.20m
1,Dynamo Moscow,Guillermo VarelaG. Varela,29,Right-Back,RB,€2.00m,Flamengo,"End of loan Jan 11, 2023",In,
0,Dynamo Moscow,Guillermo VarelaG. Varela,29,Right-Back,RB,€2.00m,Flamengo,free transfer,Out,
0,FK Krasnodar,Kady BorgesK. Borges,26,Attacking Midfield,AM,€1.20m,Qarabag FK,€2.00m,In,€2.00m
1,FK Krasnodar,Moses David CobnanM. Cobnan,20,Right Winger,RW,€400k,Podbrezova,€1.00m,In,€1.00m
2,FK Krasnodar,WandersonWanderson,28,Left Winger,LW,€8.00m,Internacional,"End of loan Dec 31, 2022",In,
3,FK Krasnodar,Júnior AlonsoJ. Alonso,29,Centre-Back,CB,€7.00m,Atlético-MG,"End of loan Dec 31, 2022",In,
0,FK Krasnodar,WandersonWanderson,28,Left Winger,LW,€8.00m,Internacional,€4.50m,Out,€4.50m
1,FK Krasnodar,Sergey BorodinS. Borodin,23,Centre-Back,CB,€1.20m,B. Jerusalem,Loan fee: €200k,Out, €200k
2,FK Krasnodar,Vyacheslav YakimovV. Yakimov,24,Defensive Midfield,DM,€400k,Fakel Voronezh,loan transfer,Out,
3,FK Krasnodar,Irakliy ManelovI. Manelov,20,Right Winger,RW,€600k,Arsenal Tula,loan transfer,Out,
0,CSKA Moscow,Ilya AgapovI. Agapov,21,Centre-Back,CB,€1.00m,Pari NN,€1.30m,In,€1.30m
1,CSKA Moscow,Mário FernandesMário Fernandes,32,Right-Back,RB,€4.50m,Career break,-,In,
2,CSKA Moscow,Kristijan BistrovicK. Bistrovic,24,Central Midfield,CM,€2.20m,Lecce,"End of loan Jan 17, 2023",In,
0,CSKA Moscow,Adolfo GaichA. Gaich,23,Centre-Forward,CF,€1.80m,Hellas Verona,Loan fee: €500k,Out, €500k
1,CSKA Moscow,Bruno FuchsB. Fuchs,23,Centre-Back,CB,€1.80m,Atlético-MG,Loan fee: €400k,Out, €400k
2,CSKA Moscow,Dmitriy KaptilovichD. Kaptilovich,19,Centre-Back,CB,€150k,Zvezda S-Pb,free transfer,Out,
3,CSKA Moscow,Mário FernandesMário Fernandes,32,Right-Back,RB,€4.50m,Internacional,loan transfer,Out,
4,CSKA Moscow,Vladislav YakovlevV. Yakovlev,20,Centre-Forward,CF,€500k,Pari NN,loan transfer,Out,
5,CSKA Moscow,Kristijan BistrovicK. Bistrovic,24,Central Midfield,CM,€2.20m,Fortuna Sittard,loan transfer,Out,
6,CSKA Moscow,Danila BokovD. Bokov,20,Goalkeeper,GK,€250k,Salyut Belgorod,loan transfer,Out,
0,Lokomotiv Moscow,Sergey PinyaevS. Pinyaev,18,Left Winger,LW,€3.50m,KS Samara,€2.60m,In,€2.60m
