,club_name,player_name,Age,Position,Pos,Market value,club_involved_name,Fee,transfer_movement,fee_cleaned
0,Real Madrid,Antonio BlancoA. Blanco,22,Defensive Midfield,DM,€3.50m,Cádiz CF,"End of loan Jan 11, 2023",In,
0,Real Madrid,Antonio BlancoA. Blanco,22,Defensive Midfield,DM,€3.50m,Alavés,loan transfer,Out,
0,FC Barcelona,No new arrivals,No new arrivals,No new arrivals,No new arrivals,No new arrivals,No new arrivals,,In,
0,FC Barcelona,Memphis DepayM. Depay,28,Centre-Forward,CF,€20.00m,Atlético Madrid,€3.00m,Out,€3.00m
1,FC Barcelona,Héctor BellerínH. Bellerín,27,Right-Back,RB,€15.00m,Sporting CP,€1.00m,Out,€1.00m
2,FC Barcelona,Gerard PiquéG. Piqué,35,Centre-Back,CB,-,Retired,-,Out,
0,Sevilla FC,Federico GattoniF. Gattoni,23,Centre-Back,CB,€4.50m,San Lorenzo,€1.40m,In,€1.40m
1,Sevilla FC,Pape GueyeP. Gueye,24,Defensive Midfield,DM,€10.00m,Marseille,loan transfer,In,
2,Sevilla FC,Bryan GilBryan Gil,21,Left Winger,LW,€12.00m,Spurs,loan transfer,In,
3,Sevilla FC,Loïc BadéL. Badé,22,Centre-Back,CB,€10.00m,Rennes,loan transfer,In,
4,Sevilla FC,Kike SalasK. Salas,20,Centre-Back,CB,€2.00m,Sevilla Atl.,-,In,
5,Sevilla FC,Lucas OcamposL. Ocampos,28,Left Winger,LW,€18.00m,Ajax,"End of loan Jan 17, 2023",In,
6,Sevilla FC,Ludwig AugustinssonL. Augustinsson,28,Left-Back,LB,€4.00m,Aston Villa,"End of loan Jan 29, 2023",In,
0,Sevilla FC,Federico GattoniF. Gattoni,23,Centre-Back,CB,€4.50m,San Lorenzo,loan transfer,Out,
1,Sevilla FC,Adnan JanuzajA. Januzaj,27,Right Winger,RW,€7.00m,Basaksehir,loan transfer,Out,
2,Sevilla FC,Kike SalasK. Salas,20,Centre-Back,CB,€2.00m,CD Tenerife,loan transfer,Out,
3,Sevilla FC,Ludwig AugustinssonL. Augustinsson,28,Left-Back,LB,€4.00m,RCD Mallorca,loan transfer,Out,
4,Sevilla FC,Thomas DelaneyT. Delaney,31,Central Midfield,CM,€3.00m,TSG Hoffenheim,loan transfer,Out,
5,Sevilla FC,José Ángel CarmonaJ. Carmona,20,Right-Back,RB,€5.00m,Elche CF,loan transfer,Out,
6,Sevilla FC,IscoIsco,30,Attacking Midfield,AM,€9.00m,Without Club,-,Out,
7,Sevilla FC,Kasper DolbergK. Dolberg,25,Centre-Forward,CF,€12.00m,OGC Nice,"End of loan Dec 31, 2022",Out,
0,Atlético de Madrid,Memphis DepayM. Depay,28,Centre-Forward,CF,€20.00m,Barcelona,€3.00m,In,€3.00m
1,Atlético de Madrid,Matt DohertyM. Doherty,31,Right-Back,RB,€12.00m,Spurs,free transfer,In,
2,Atlético de Madrid,Pablo BarriosP. Barrios,19,Central Midfield,CM,€500k,Atl. Madrid B,-,In,
3,Atlético de Madrid,Marcos PauloMarcos Paulo,21,Left Winger,LW,€5.00m,CD Mirandés,"End of loan Dec 31, 2022",In,
0,Atlético de Madrid,João FélixJoão Félix,23,Second Striker,SS,€50.00m,Chelsea,Loan fee: €11.00m,Out, €11.00m
1,Atlético de Madrid,FelipeFelipe,33,Centre-Back,CB,€3.00m,Nottm Forest,€2.30m,Out,€2.30m
2,Atlético de Madrid,Matheus CunhaM. Cunha,23,Centre-Forward,CF,€20.00m,Wolves,loan transfer,Out,
3,Atlético de Madrid,Marcos PauloMarcos Paulo,21,Left Winger,LW,€5.00m,São Paulo,loan transfer,Out,
0,Real Sociedad,No new arrivals,No new arrivals,No new arrivals,No new arrivals,No new arrivals,No new arrivals,,In,
0,Real Sociedad,Jon KarrikaburuJ. Karrikaburu,20,Centre-Forward,CF,€5.00m,CD Leganés,loan transfer,Out,
0,Real Betis Balompié,AbnerAbner,22,Left-Back,LB,€8.00m,Athletico-PR,€7.00m,In,€7.00m
1,Real Betis Balompié,Ayoze PérezA. Pérez,29,Second Striker,SS,€6.00m,Leicester,loan transfer,In,
2,Real Betis Balompié,Diego LainezD. Lainez,22,Right Winger,RW,€2.50m,SC Braga,"End of loan Jan 29, 2023",In,
0,Real Betis Balompié,Álex MorenoÁ. Moreno,29,Left-Back,LB,€20.00m,Aston Villa,€13.50m,Out,€13.50m
