,club_name,player_name,Age,Position,Pos,Market value,club_involved_name,Fee,transfer_movement,fee_cleaned
0,AC Milan,Devis VásquezD. Vásquez,24,Goalkeeper,GK,€350k,Guaraní,€470k,In,€470k
0,AC Milan,Luan CapanniL. Capanni,22,Centre-Forward,CF,€75k,Arka Gdynia,free transfer,Out,
1,AC Milan,Andreas JungdalA. Jungdal,20,Goalkeeper,GK,€150k,SCR Altach,loan transfer,Out,
2,AC Milan,Marko LazeticM. Lazetic,19,Centre-Forward,CF,€3.00m,SCR Altach,loan transfer,Out,
0,Inter Milan,No new arrivals,No new arrivals,No new arrivals,No new arrivals,No new arrivals,No new arrivals,,In,
0,Inter Milan,Matias FonsecaM. Fonseca,21,Centre-Forward,CF,€125k,Wanderers,free transfer,Out,
1,Inter Milan,Fabrizio BagheriaF. Bagheria,21,Goalkeeper,GK,€50k,Livorno,loan transfer,Out,
2,Inter Milan,Franco CarboniF. Carboni,19,Left-Back,LB,€1.00m,Monza,loan transfer,Out,
3,Inter Milan,Ionut RaduI. Radu,25,Goalkeeper,GK,€3.50m,AJ Auxerre,loan transfer,Out,
4,Inter Milan,Sebastiano EspositoS. Esposito,20,Centre-Forward,CF,€3.50m,Bari,loan transfer,Out,
5,Inter Milan,Eddie SalcedoE. Salcedo,21,Centre-Forward,CF,€2.70m,Genoa,loan transfer,Out,
6,Inter Milan,Gabriel BrazãoG. Brazão,22,Goalkeeper,GK,€500k,SPAL,loan transfer,Out,
7,Inter Milan,Lorenzo PeschetolaL. Peschetola,19,Attacking Midfield,AM,€200k,Latina Calcio,loan transfer,Out,
8,Inter Milan,Edoardo SottiniE. Sottini,20,Centre-Back,CB,€250k,Avellino,loan transfer,Out,
0,SSC Napoli,Pierluigi GolliniP. Gollini,27,Goalkeeper,GK,€5.00m,Atalanta BC,loan transfer,In,
1,SSC Napoli,Bartosz BereszynskiB. Bereszynski,30,Right-Back,RB,€3.00m,Sampdoria,loan transfer,In,
0,SSC Napoli,Salvatore SiriguS. Sirigu,36,Goalkeeper,GK,€800k,Fiorentina,free transfer,Out,
1,SSC Napoli,Eugenio D'UrsiE. D'Ursi,27,Left Winger,LW,€275k,Crotone,?,Out,
2,SSC Napoli,Alessandro ZanoliA. Zanoli,22,Right-Back,RB,€4.00m,Sampdoria,loan transfer,Out,
3,SSC Napoli,Lorenzo SgarbiL. Sgarbi,21,Centre-Forward,CF,€125k,Pro Sesto,loan transfer,Out,
4,SSC Napoli,Nikita ContiniN. Contini,26,Goalkeeper,GK,€700k,Reggina,loan transfer,Out,
5,SSC Napoli,Giuseppe AmbrosinoG. Ambrosino,19,Centre-Forward,CF,€700k,Cittadella,loan transfer,Out,
6,SSC Napoli,Davide CostanzoD. Costanzo,20,Centre-Back,CB,€75k,Pro Vercelli,loan transfer,Out,
0,Juventus FC,Samuel Iling JuniorS. Iling Junior,19,Left Winger,LW,€3.50m,Juve Next Gen,-,In,
0,Juventus FC,Weston McKennieW. McKennie,24,Central Midfield,CM,€21.00m,Leeds,Loan fee: €1.25m,Out, €1.25m
1,Juventus FC,Luca PellegriniL. Pellegrini,23,Left-Back,LB,€9.00m,Lazio,loan transfer,Out,
2,Juventus FC,Marley AkéM. Aké,22,Left Winger,LW,€2.50m,Dijon,loan transfer,Out,
0,SS Lazio,Luca PellegriniL. Pellegrini,23,Left-Back,LB,€9.00m,Juventus,loan transfer,In,
1,SS Lazio,Diego GonzálezD. González,20,Left Winger,LW,€750k,Celaya,loan transfer,In,
0,SS Lazio,Dimitrije KamenovicD. Kamenovic,22,Left-Back,LB,€1.40m,Sparta Prague,loan transfer,Out,
1,SS Lazio,Gonzalo EscalanteG. Escalante,29,Central Midfield,CM,€2.00m,Cádiz CF,loan transfer,Out,
2,SS Lazio,Raúl MoroR. Moro,20,Left Winger,LW,€2.50m,Real Oviedo,loan transfer,Out,
