,league_name,year,transfer_period,fee_cleaned
0,1 Bundesliga,1992,Summer,23.22
1,1 Bundesliga,1992,Winter,6.175
2,1 Bundesliga,1993,Summer,35.639
3,1 Bundesliga,1993,Winter,2.25
4,1 Bundesliga,1994,Summer,51.727
5,1 Bundesliga,1994,Winter,2.535
6,1 Bundesliga,1995,Summer,66.343
7,1 Bundesliga,1995,Winter,11.77
8,1 Bundesliga,1996,Summer,47.446
9,1 Bundesliga,1996,Winter,3.768
10,1 Bundesliga,1997,Summer,63.365
11,1 Bundesliga,1997,Winter,7.3
12,1 Bundesliga,1998,Summer,65.185
13,1 Bundesliga,1998,Winter,9.76
14,1 Bundesliga,1999,Summer,120.685
15,1 Bundesliga,1999,Winter,30.5
16,1 Bundesliga,2000,Summer,68.785
17,1 Bundesliga,2000,Winter,47.185
18,1 Bundesliga,2001,Summer,160.075
19,1 Bundesliga,2001,Winter,25.13
20,1 Bundesliga,2002,Summer,114.15
21,1 Bundesliga,2002,Winter,6.74
22,1 Bundesliga,2003,Summer,76.994
23,1 Bundesliga,2003,Winter,8.295
24,1 Bundesliga,2004,Summer,78.57
25,1 Bundesliga,2004,Winter,8.145
26,1 Bundesliga,2005,Summer,92.93
27,1 Bundesliga,2005,Winter,15.68
28,1 Bundesliga,2006,Summer,126.54
29,1 Bundesliga,2006,Winter,18.19
30,1 Bundesliga,2007,Summer,221.24
31,1 Bundesliga,2007,Winter,50.97
32,1 Bundesliga,2008,Summer,159.95
33,1 Bundesliga,2008,Winter,25.3
34,1 Bundesliga,2009,Summer,229.335
35,1 Bundesliga,2009,Winter,16.525
36,1 Bundesliga,2010,Summer,160.19
37,1 Bundesliga,2010,Winter,53.25
38,1 Bundesliga,2011,Summer,169.89
39,1 Bundesliga,2011,Winter,54.03
40,1 Bundesliga,2012,Summer,250.48
41,1 Bundesliga,2012,Winter,40.63
42,1 Bundesliga,2013,Summer,268.525
43,1 Bundesliga,2013,Winter,39.375
44,1 Bundesliga,2014,Summer,300.605
45,1 Bundesliga,2014,Winter,68.42
46,1 Bundesliga,2015,Summer,425.28
47,1 Bundesliga,2015,Winter,50.62
48,1 Bundesliga,2016,Summer,616.768
49,1 Bundesliga,2016,Winter,114.06
50,1 Bundesliga,2017,Summer,660.14
51,1 Bundesliga,2017,Winter,76.9
52,1 Bundesliga,2018,Summer,483.41
53,1 Bundesliga,2018,Winter,79.4
54,1 Bundesliga,2019,Summer,747.84
55,1 Bundesliga,2019,Winter,208.4
56,1 Bundesliga,2020,Summer,337.1
57,1 Bundesliga,2020,Winter,51.15
58,1 Bundesliga,2021,Summer,425.255
59,1 Bundesliga,2021,Winter,61.89
60,1 Bundesliga,2022,Summer,485.28
61,Championship,2004,Summer,15.34
62,Championship,2004,Winter,8.094
63,Championship,2005,Summer,32.617
64,Championship,2005,Winter,21.015
65,Championship,2006,Summer,70.025
66,Championship,2006,Winter,30.631
67,Championship,2007,Summer,83.238
68,Championship,2007,Winter,44.765
69,Championship,2008,Summer,61.323
70,Championship,2008,Winter,13.28
71,Championship,2009,Summer,64.415
72,Championship,2009,Winter,21.33
73,Championship,2010,Summer,44.73
74,Championship,2010,Winter,14.325
75,Championship,2011,Summer,60.867
76,Championship,2011,Winter,15.63
77,Championship,2012,Summer,85.73
78,Championship,2012,Winter,14.552
79,Championship,2013,Summer,43.18
80,Championship,2013,Winter,8.945
81,Championship,2014,Summer,128.524
82,Championship,2014,Winter,15.438
83,Championship,2015,Summer,158.29
84,Championship,2015,Winter,48.127
85,Championship,2016,Summer,271.746
86,Championship,2016,Winter,83.042
87,Championship,2017,Summer,254.304
88,Championship,2017,Winter,37.841
89,Championship,2018,Summer,176.655
90,Championship,2018,Winter,67.325
91,Championship,2019,Summer,194.305
92,Championship,2019,Winter,45.065000000000005
93,Championship,2020,Summer,75.118
94,Championship,2020,Winter,6.77
95,Championship,2021,Summer,60.36
96,Championship,2021,Winter,29.095
97,Championship,2022,Summer,87.695
98,Eredivisie,1992,Summer,3.221
99,Eredivisie,1992,Winter,3.173
100,Eredivisie,1993,Summer,9.567
101,Eredivisie,1993,Winter,1.107
102,Eredivisie,1994,Summer,13.507
103,Eredivisie,1994,Winter,1.19
104,Eredivisie,1995,Summer,12.23
105,Eredivisie,1995,Winter,3.75
106,Eredivisie,1996,Summer,16.215
107,Eredivisie,1996,Winter,0.0
108,Eredivisie,1997,Summer,32.86
109,Eredivisie,1997,Winter,6.15
110,Eredivisie,1998,Summer,34.31
111,Eredivisie,1998,Winter,3.976
112,Eredivisie,1999,Summer,44.767
113,Eredivisie,1999,Winter,4.155
114,Eredivisie,2000,Summer,43.875
115,Eredivisie,2000,Winter,4.99
116,Eredivisie,2001,Summer,47.31
117,Eredivisie,2001,Winter,11.25
118,Eredivisie,2002,Summer,25.52
119,Eredivisie,2002,Winter,8.05
120,Eredivisie,2003,Summer,27.4
121,Eredivisie,2003,Winter,3.125
122,Eredivisie,2004,Summer,16.27
123,Eredivisie,2004,Winter,11.515
124,Eredivisie,2005,Summer,21.255
125,Eredivisie,2005,Winter,16.814999999999998
126,Eredivisie,2006,Summer,59.54
127,Eredivisie,2006,Winter,3.72
128,Eredivisie,2007,Summer,89.13
129,Eredivisie,2007,Winter,26.25
130,Eredivisie,2008,Summer,83.015
131,Eredivisie,2008,Winter,12.115
132,Eredivisie,2009,Summer,49.33
133,Eredivisie,2009,Winter,4.75
134,Eredivisie,2010,Summer,38.2
135,Eredivisie,2010,Winter,5.55
136,Eredivisie,2011,Summer,64.585
137,Eredivisie,2011,Winter,4.675
138,Eredivisie,2012,Summer,44.498
139,Eredivisie,2012,Winter,5.15
140,Eredivisie,2013,Summer,38.455
141,Eredivisie,2013,Winter,2.535
142,Eredivisie,2014,Summer,33.62
143,Eredivisie,2014,Winter,9.025
144,Eredivisie,2015,Summer,52.275
145,Eredivisie,2015,Winter,5.65
146,Eredivisie,2016,Summer,40.025
147,Eredivisie,2016,Winter,19.095
148,Eredivisie,2017,Summer,71.95
149,Eredivisie,2017,Winter,27.5
150,Eredivisie,2018,Summer,88.815
151,Eredivisie,2018,Winter,9.15
152,Eredivisie,2019,Summer,111.5
153,Eredivisie,2019,Winter,9.724
154,Eredivisie,2020,Summer,73.366
155,Eredivisie,2020,Winter,25.2
156,Eredivisie,2021,Summer,48.105
157,Eredivisie,2021,Winter,16.27
158,Eredivisie,2022,Summer,169.485
159,Liga Nos,1992,Summer,2.5
160,Liga Nos,1992,Winter,0.0
161,Liga Nos,1993,Summer,1.0
162,Liga Nos,1993,Winter,0.0
163,Liga Nos,1994,Summer,1.75
164,Liga Nos,1994,Winter,0.0
165,Liga Nos,1995,Summer,1.5
166,Liga Nos,1995,Winter,1.5
167,Liga Nos,1996,Summer,4.5
168,Liga Nos,1996,Winter,0.0
169,Liga Nos,1997,Summer,10.874
170,Liga Nos,1997,Winter,4.199999999999999
171,Liga Nos,1998,Summer,0.4499999999999999
172,Liga Nos,1998,Winter,10.26
173,Liga Nos,1999,Summer,9.95
174,Liga Nos,1999,Winter,4.75
175,Liga Nos,2000,Summer,26.0
176,Liga Nos,2000,Winter,13.52
177,Liga Nos,2001,Summer,43.61
178,Liga Nos,2001,Winter,2.925
179,Liga Nos,2002,Summer,16.625
180,Liga Nos,2002,Winter,2.03
181,Liga Nos,2003,Summer,13.73
182,Liga Nos,2003,Winter,5.034
183,Liga Nos,2004,Summer,44.425
184,Liga Nos,2004,Winter,19.6
185,Liga Nos,2005,Summer,31.125
186,Liga Nos,2005,Winter,5.65
187,Liga Nos,2006,Summer,20.45
188,Liga Nos,2006,Winter,2.9
189,Liga Nos,2007,Summer,66.795
190,Liga Nos,2007,Winter,5.71
191,Liga Nos,2008,Summer,85.674
192,Liga Nos,2008,Winter,1.4449999999999998
